brsr_question,xbrl_tag,bm25_score,ncd_score,p_value,verification_status,alt_xbrl_tag_1,alt_score_1
What is the scope 1 and scope 2 emissions intensity for the current year?,Number Of Employees In The Company At The End Of The Financial Year,10.8068,0.7183,0.0,Weak Match - Review,Whether There Is Any Change In Functional Currency During The Year,10.1544
What is the scope 3 emissions intensity for the current year?,Number Of Employees In The Company At The End Of The Financial Year,10.8068,0.7164,0.0,Weak Match - Review,Whether There Is Any Change In Functional Currency During The Year,10.1544
What was the Total Scope 1 and 2 intensity (Current Year) (Unit: Metric Tonne) - Physical Output?,unit Denominator,8.0969,0.8571,0.016,Verified,unit Numerator,7.8955
What is the scope 1 and scope 2 emissions intensity in terms of purchasing power parity for the current year?,Number Of Employees In The Company At The End Of The Financial Year,12.1251,0.7717,0.0,Weak Match - Review,Whether There Is Any Change In Functional Currency During The Year,11.1211
What are the total PM emissions for the Current Year (Unit: Metric Tonne)?,Whether There Are Changes In Acounting Estimates During The Year,11.147,0.6753,0.0,Weak Match - Review,Number Of Employees In The Company At The End Of The Financial Year,10.8068
What are the total SOx emissions for the Current Year (Unit: Metric Tonne)?,Whether There Are Changes In Acounting Estimates During The Year,11.147,0.6923,0.0,Weak Match - Review,Number Of Employees In The Company At The End Of The Financial Year,10.8068
What are the total NOx emissions for the Current Year (Unit: Metric Tonne)?,Whether There Are Changes In Acounting Estimates During The Year,11.147,0.6923,0.0,Weak Match - Review,Number Of Employees In The Company At The End Of The Financial Year,10.8068
What is the water intensity per rupee of turnover in crores for the Current Year? (in kilolitres),Number Of Employees In The Company At The End Of The Financial Year,12.9394,0.7209,0.0,Weak Match - Review,Whether There Is Any Change In Functional Currency During The Year,12.0878
What is the % of untreated water discharge?,Cost Water Charges,8.9314,0.7143,0.006,Verified,Name Of Stock Exchange Where The Company Is Listed,6.2146
What is the total volume of fresh water withdrawal (in kilolitres) for the Current Year?,Number Of Employees In The Company At The End Of The Financial Year,12.1251,0.7439,0.0,Weak Match - Review,Whether There Is Any Change In Functional Currency During The Year,11.1211
What is the total volume of fresh water discharge (in kilolitres) for the Current Year?,Number Of Employees In The Company At The End Of The Financial Year,12.1251,0.7561,0.0,Weak Match - Review,Whether There Is Any Change In Functional Currency During The Year,11.1211
What is the total volume of water consumed (in kilolitres) in areas of water stress for the Current Year?,Cost Water Charges,17.8628,0.809,0.0,Verified,Number Of Employees In The Company At The End Of The Financial Year,13.4435
What is the total effluent discharge in the Current Year?,Number Of Employees In The Company At The End Of The Financial Year,11.621,0.7313,0.0,Weak Match - Review,Whether There Is Any Change In Functional Currency During The Year,11.1211
How much was the Water intensity in Current Year (in kilolitres) for physical output?,Cost Water Charges,8.9314,0.8333,0.012,Verified,Top Ten Employed Throughout The Financial Year Was In Receipt Of Remuneration In Aggregate For That Year Not Less Than One Crore And Two Lakh Rupees Explanatory,8.82
What is the water intensity per rupee of turnover adjusted for Purchasing Power Parity in crores Current Year (in kilolitres) - PPP?,Whether There Is Any Change In Functional Currency During The Year,9.1543,0.7568,0.0,Verified,Cost Water Charges,8.9314
What is the energy intensity turnover for the current year?,Steps Taken By The Company For Utilising Alternate Sources Of Energy Explanatory,11.6744,0.6667,0.0,Verified,Number Of Employees In The Company At The End Of The Financial Year,10.8068
Percentage of energy consumed from renewable sources?,Raw Materials Consumed,9.4894,0.7627,0.006,Verified,Steps Taken By The Company For Utilising Alternate Sources Of Energy Explanatory,9.1394
What is the energy intensity in terms of physical output?,Steps Taken By The Company For Utilising Alternate Sources Of Energy Explanatory,7.709,0.679,0.0,Verified,Details Regarding Energy Conservation,7.1394
What is the energy intensity adjusted for Purchasing Power Parity for Current Year?,Steps Taken By The Company For Utilising Alternate Sources Of Energy Explanatory,9.8272,0.6296,0.0,Verified,Whether Company Has Published Sustainability Report For The Financial Year,8.1178
What is the waste intensity adjusted for Purchasing Power Parity for Current Year?,Whether Company Has Published Sustainability Report For The Financial Year,8.1178,0.6076,0.0,Verified,Whether There Is Any Change In Functional Currency During The Year,7.2209
How much was the hazardous waste for the current year (in metric tonnes)?,Number Of Employees In The Company At The End Of The Financial Year,11.621,0.7361,0.0,Weak Match - Review,Whether Company Has Published Sustainability Report For The Financial Year,10.0099
What is the waste recycled/recovered intensity for the current year?,Number Of Employees In The Company At The End Of The Financial Year,10.8068,0.7143,0.0,Weak Match - Review,Whether There Is Any Change In Functional Currency During The Year,10.1544
Percentage of recycled or reused input material used in production (for manufacturing industry) or providing services (for service industry),Type Of Industry,16.1189,0.8812,0.0,Verified,Quantity Of Highest Contributing Product Or Service In Uom,8.1029
What was the total waste intensity (current year) (Unit: Metric Tonne) - Physical Output?,unit Denominator,8.0969,0.8636,0.01,Verified,unit Numerator,7.8955
What is the waste intensity adjusted for Purchasing Power Parity for the current year?,Whether Company Has Published Sustainability Report For The Financial Year,11.3101,0.641,0.0,Verified,Number Of Employees In The Company At The End Of The Financial Year,10.8068
