nic5,nic4,nic2,company_count,paid_up_capital_cr,omega
1001,100,1,220,84962.13512969401,0.04777900582479512
1002,100,1,353,131422.7945439658,0.18267536177315502
1003,100,1,81,42490.495605803124,0.35547957066687214
1004,100,1,222,3807.6748780260473,0.06820120487877437
1005,100,1,50,47275.31139406778,0.15684402303908246
1006,100,1,27,93277.08612960577,0.08971875066360813
1007,100,1,32,84591.92138404559,0.05350599796731747
1008,100,1,67,55554.58700579753,0.04579608518639528
2001,200,2,168,20059.994527321098,0.2626255162181098
2002,200,2,20,1112221.1995403953,0.11859570319983007
2003,200,2,153,949.4565585853474,0.5354892220089734
2004,200,2,192,102432.16209222435,0.019598184442249596
2005,200,2,185,9820.332836273243,0.0636913741308371
3001,300,3,27,11527.360313641544,0.32195404623053137
3002,300,3,55,9612.257410438406,0.03020370733909487
3003,300,3,111,87298.58524512361,0.09608292988537899
3004,300,3,35,43996.75635666624,0.12685497607591426
3005,300,3,22,7768.266196872602,0.13793878738757273
3006,300,3,3,2104.6732590088486,0.12114592812269284
3007,300,3,19,27347.09304476999,0.06694007690051795
3008,300,3,534,37725.18176597668,0.09887954805829693
4001,400,4,58,3880.704608538502,0.1444003876248882
4002,400,4,23,1293163.6745762904,0.36319543755768324
4003,400,4,872,155485.00743308375,0.49240417481742854
5001,500,5,27,4659.0205704569535,0.3586683535524559
5002,500,5,48,19054.40908447509,0.44692221785316816
5003,500,5,72,5018.06983033679,0.17400850738343143
5004,500,5,56,1847.1235404827305,0.020400921210944528
6001,600,6,64,24976.85529614251,0.12193300212112387
6002,600,6,326,66605.55886522081,0.19410977921124925
6003,600,6,14,25857.681635923676,0.5592149625263542
6004,600,6,53,4462.8452556820175,0.06655230680516147
6005,600,6,74,21045.063857002107,0.05818994933611118
7001,700,7,66,135623.55948186576,0.17621297633793903
7002,700,7,9,12461.030429969158,0.027648106725254855
7003,700,7,1,4133.194167367086,0.27793548147208985
7004,700,7,28,18145.857060843315,0.42369249679390414
7005,700,7,23,148480.38221756983,0.09451093867081208
8001,800,8,108,10319.368893552379,0.5646678253778238
8002,800,8,405,87399.44862900533,0.4353321746221762
9001,900,9,85,4177.60968861236,0.5306731866266159
9002,900,9,10,152510.88126487017,0.04601967324299194
9003,900,9,58,24586.77133633072,0.022227960927165093
9004,900,9,230,705324.2806564394,0.3411784128536045
9005,900,9,0,404010.27953148296,0.05990076634962262
10001,1000,10,301,50257.99451990001,0.5045793322701585
10002,1000,10,21,26232.35010281223,0.17039236587873718
10003,1000,10,14,5410.078067032103,0.087024034177648
10004,1000,10,71,17048.215845073755,0.08100484260531254
10005,1000,10,20,596103.8336428038,0.1569994250681438
11001,1100,11,4,7979.723437035837,0.07997663616362269
11002,1100,11,364,105064.40355565,6.573991893645171e-05
11003,1100,11,138,59961.85071096984,0.17116538790391128
11004,1100,11,3,2255.1570477586024,0.005831827278125363
11005,1100,11,123,334057.0434344908,0.1859871025906976
11006,1100,11,107,68747.11613971645,0.09285711794843594
11007,1100,11,123,89059.01371142556,0.1976897456625195
11008,1100,11,112,2414.765735455086,0.26642644253375103
12001,1200,12,15,3717.2714531634783,0.3013407001271936
12002,1200,12,108,202963.51614880856,0.1116138468275924
12003,1200,12,163,132801.98995812554,0.032605716491430535
12004,1200,12,5,81481.16339072118,0.06088905335214925
12005,1200,12,53,5251.724007593546,0.10196648507378732
12006,1200,12,34,10248.399483574403,0.20316566405958641
12007,1200,12,11,446.01446863037967,0.1884185340682605
13001,1300,13,195,478087.3204181741,0.2613932490041238
13002,1300,13,19,13031.341034459261,0.11161580107384902
13003,1300,13,81,1456.0780670429483,0.4237661167795935
13004,1300,13,10,82660.94734795585,0.20322483314243367
14001,1400,14,347,38140.13291678075,0.37581095756164085
14002,1400,14,66,12658.389200614018,0.0615711571430898
14003,1400,14,11,996.7174512070397,0.5626178852952693
15001,1500,15,110,47273.11845956993,0.34497790719947863
15002,1500,15,14,1246821.887971416,0.19346131123933935
15003,1500,15,512,15977.514719592566,0.4615607815611821
16001,1600,16,109,13432.8978280298,0.0676343291349832
16002,1600,16,286,26941.78489628559,0.11702364224625049
16003,1600,16,15,1812.5814130307695,0.18057951116209764
16004,1600,16,13,20545.482694512302,0.01868665732758556
16005,1600,16,39,95.6730226427091,0.008782000415922007
16006,1600,16,123,532667.1491956293,0.036959525908955744
16007,1600,16,19,55834.88825638178,0.17658167105586065
16008,1600,16,17,297832.6252947846,0.3937526627483447
17001,1700,17,632,3728.6773473373623,0.0958385837188499
17002,1700,17,15,63497.593434042545,0.004946015521529481
17003,1700,17,34,40.54256381880475,0.1906395453410435
17004,1700,17,236,1755.2693536979436,0.2573467728014043
17005,1700,17,35,5617.842926771581,0.1203941936244612
17006,1700,17,32,76862.20888184832,0.15952239745642322
17007,1700,17,3,11741.82840168978,0.06889988196879818
17008,1700,17,5,11275.684837913392,0.10241260956749026
18001,1800,18,2258,141825.56982169455,0.5912939826987071
18002,1800,18,348,96591.12940214387,0.09672902993357792
18003,1800,18,37,8486.665720146231,0.3119769873677149
19001,1900,19,52,1348.8371746768742,0.2077612741012435
19002,1900,19,10,49433.665291274,0.13905711366327425
19003,1900,19,135,41033.44259469585,0.6531816122354821
20001,2000,20,5003,20170.749481933784,0.587158317726009
20002,2000,20,122,8975.924067121334,0.32331675602183635
20003,2000,20,141,683457.9709448023,0.0895249262521547
21001,2100,21,115,3071.8699672284165,0.07232204549290314
21002,2100,21,409,7336.832144391988,0.0027131766351604697
21003,2100,21,1274,10924.030444532225,0.01497365635365964
21004,2100,21,202,1610.8893192914854,0.008510032190638164
21005,2100,21,72,5020.687264198562,0.9014810893276386
22001,2200,22,9,10715.731691961502,0.2865455738027238
22002,2200,22,11,175976.70922122596,0.05393911216716789
22003,2200,22,91,71462.6398727171,0.1892836157265983
22004,2200,22,6,3126.2632422288993,0.47023169830351
23001,2300,23,168,4699.419438968284,0.4383824126359277
23002,2300,23,31,14466.301358057277,0.026139782355542106
23003,2300,23,3,6997.436840053102,0.136313263495375
23004,2300,23,8,10238.125000120619,0.28187515958549525
23005,2300,23,54,37152.23032804929,0.10398260148784838
23006,2300,23,61,4932.829420851465,0.01330678043981161
24001,2400,24,22,3756.2843957210976,0.23740820506845414
24002,2400,24,47,56485.047037490665,0.08021610362976657
24003,2400,24,2060,78180.32515359693,0.0978113591706352
24004,2400,24,47,381.0744560509969,0.13329382676522242
24005,2400,24,5,1905.8831064660903,0.023796744287199936
24006,2400,24,31,393.02635838714576,0.25267710820452577
24007,2400,24,69,316947.0247456523,0.17479665287419596
25001,2500,25,5,2597.363230812429,0.41500531178088546
25002,2500,25,255,61833.104464500124,0.022358648893496456
25003,2500,25,250,3720.032377152262,0.010549664347206694
25004,2500,25,62,59386.55585923288,0.25769203208311303
25005,2500,25,3,9668.606107171252,0.11580621970349521
25006,2500,25,89,35326.15742306538,0.09407450350098458
25007,2500,25,17,14667.463299189181,0.08451361969081857
26001,2600,26,101,18408.753382290517,0.5979829985788032
26002,2600,26,120,15175.730196885539,0.20336430068542408
26003,2600,26,3,37969.65665649405,0.19865270073577274
27001,2700,27,183,66245.73124513643,0.08529736093686782
27002,2700,27,115,30338.973811387837,0.1961401498689719
27003,2700,27,34,59359.3465435547,0.29401227919500106
27004,2700,27,14,2074.4410407391397,0.12492969680676744
27005,2700,27,280,6921.978375873332,0.07742266511457649
27006,2700,27,25,47190.95830485722,0.1069125820291881
27007,2700,27,781,1003222.6817032839,0.006829999383078765
27008,2700,27,202,590.2104831927339,0.10845526666554865
28001,2800,28,52,19441.513245568294,0.1993891245349192
28002,2800,28,97,16263.132178329597,0.14133932942235347
28003,2800,28,437,844.6306498212242,0.26168489855184723
28004,2800,28,417,193960.03892905917,0.17637342559239316
28005,2800,28,56,13218.172921383877,0.11443540410438142
28006,2800,28,158,8533.507151211075,0.05444577656340367
28007,2800,28,139,34875.13784097359,0.05233204123070176
29001,2900,29,86,805423.8041150151,0.8136190241169048
29002,2900,29,486,15651.087666218327,0.18638097588309524
30001,3000,30,7,12506.055332492797,0.04031725769219384
30002,3000,30,30,16701.80525200809,0.37255412518127645
30003,3000,30,19,10511.277541696854,0.3388115626204823
30004,3000,30,10,23837.190302222774,0.24831705450604744
31001,3100,31,18,60464.081743464136,0.23977374498519208
31002,3100,31,145,28918.00804577939,0.0030320993670232793
31003,3100,31,24,410353.94805770915,0.11753864749910936
31004,3100,31,32,26729.981899156115,0.1030327320628937
31005,3100,31,6,20692.087092119713,0.21688487714694984
31006,3100,31,4,248460.55710869867,0.1657106673481871
31007,3100,31,133,397434.9049570758,0.0163858301043247
31008,3100,31,51,199789.79898933295,0.13764140148631995
32001,3200,32,24,4420.542973147787,0.8930474541362324
32002,3200,32,190,196392.84863729574,0.1069525458637676
33001,3300,33,346,527.579705630328,0.16638438935567057
33002,3300,33,8,66981.86227898645,0.44233047189264396
33003,3300,33,16,12053.726582301499,0.06092280101059381
33004,3300,33,734,15156.757116213183,0.08100927404795909
33005,3300,33,140,15910.369643870039,0.04582420995969132
33006,3300,33,144,138932.2110742745,0.07035197574519152
33007,3300,33,39,4214.865599908346,0.029351290654508755
33008,3300,33,140,2101.0056685730056,0.10382558733374096
34001,3400,34,5,434908.0630511111,0.9548027434647539
34002,3400,34,28,9696.473088228628,0.03695296280196043
34003,3400,34,3,9267.739446393229,0.008244293733285724
35001,3500,35,6,2013.0367108345488,0.10193107580873165
35002,3500,35,18,199181.68234112745,0.12213129342873295
35003,3500,35,18,18913.379902288165,0.3502003906743688
35004,3500,35,20,2119.2324768696126,0.4257372400881666
36001,3600,36,36,71331.75680924702,0.24051626508661464
36002,3600,36,269,75601.7872098106,0.009835915978654297
36003,3600,36,86,82588.88362461553,0.019916506122685498
36004,3600,36,62,10363.470253683028,0.03971248076681004
36005,3600,36,155,49546.127480460156,0.02513258727164677
36006,3600,36,69,454911.14151275594,0.3612523580318095
36007,3600,36,90,2411736.6159475157,0.043012934751840995
36008,3600,36,7,167811.4147501209,0.26062095198993823
37001,3700,37,31,380545.28096774744,0.9830309103678622
37002,3700,37,365,66123.98608021138,0.016969089632137935
38001,3800,38,10,1416.183521711678,0.3051895018643224
38002,3800,38,229,36899.79961821829,0.4096490915700734
38003,3800,38,6,13791.239400491562,0.22834101658184838
38004,3800,38,385,16357.207548792074,0.045198514297267525
38005,3800,38,8,6039.250747984312,0.011621875686488255
39001,3900,39,18,13030.471141283682,0.3262285776817655
39002,3900,39,4,1127.1337477896775,0.1549015629070502
39003,3900,39,26,926.5909820037393,0.36492606406418443
39004,3900,39,7,53079.309181193865,0.13167946183245538
39005,3900,39,207,51456.05954339699,0.022264333514544748
40001,4000,40,147,8755.47394888557,0.09981682310540615
40002,4000,40,1555,110403.71257309422,0.5048410343100027
40003,4000,40,167,45223.185495799815,0.395342142584591
41001,4100,41,451,384.0616674072058,0.06569503775895272
