question_id,question_text,global_optimal_match,optimal_score,alt_match_1,alt_score_1,alt_match_2,alt_score_2,alt_match_3,alt_score_3,confidence_flag,final_selected_column,true_bm25_score,ncd_score,p_value,verification_status
307,What is the scope 1 and scope 2 emissions intensity for the current year?,Total Scope1 And Scope2 Emissions Intensity The Relevant Metric May Be Selected By The Entity,27.6076,Total Scope1 And Scope2 Emissions Intensity The Relevant Metric May Be Selected By The Entity,27.6076,Total Scope1 And Scope2 Emissions Intensity Per Rupee Of Turnover,24.779,Total Scope1 And Scope2 Emissions Intensity In Term Of Physical Output,24.0315,High Confidence,Total Scope1 And Scope2 Emissions Intensity The Relevant Metric May Be Selected By The Entity,13.1425,0.6023,0,Weak Match - Review
303,What is the scope 3 emissions intensity for the current year?,Whether Total Scope3 Emissions And Its Intensity Is Applicable To The Company,22.1995,Total Scope3 Emission Intensity The Relevant Metric May Be Selected By The Entity,23.9138,Whether Total Scope3 Emissions And Its Intensity Is Applicable To The Company,22.1995,Total Scope1 And Scope2 Emissions Intensity The Relevant Metric May Be Selected By The Entity,20.7318,High Confidence,Whether Total Scope3 Emissions And Its Intensity Is Applicable To The Company,15.5599,0.575,0,Weak Match - Review
299,What was the Total Scope 1 and 2 intensity (Current Year) (Unit: Metric Tonne) - Physical Output?,Total Scope1 And Scope2 Emissions Intensity In Term Of Physical Output,38.1727,Total Scope1 And Scope2 Emissions Intensity In Term Of Physical Output,38.1727,Total Scope1 And Scope2 Emissions Intensity The Relevant Metric May Be Selected By The Entity,26.437,Waste Intensity In Term Of Physical Output,25.5586,High Confidence,Total Scope1 And Scope2 Emissions Intensity In Term Of Physical Output,23.929,0.6122,0,Weak Match - Review
304,What is the scope 1 and scope 2 emissions intensity in terms of purchasing power parity for the current year?,Total Scope1 And Scope2 Emissions Intensity Per Rupee Of Turnover Adjusted For Purchasing Power Parity,42.9276,Total Scope1 And Scope2 Emissions Intensity Per Rupee Of Turnover Adjusted For Purchasing Power Parity,42.9276,Total Scope1 And Scope2 Emissions Intensity In Term Of Physical Output,34.4871,Waste Intensity Per Rupee Of Turnover Adjusting For Purchasing Power Parity,31.0467,High Confidence,Total Scope1 And Scope2 Emissions Intensity Per Rupee Of Turnover Adjusted For Purchasing Power Parity,30.5265,0.5657,0,Weak Match - Review
278,What are the total PM emissions for the Current Year (Unit: Metric Tonne)?,Total Scope3 Emission Intensity The Relevant Metric May Be Selected By The Entity,19.5989,Total Scope3 Emission Intensity The Relevant Metric May Be Selected By The Entity,19.5989,Total Scope1 And Scope2 Emissions Intensity The Relevant Metric May Be Selected By The Entity,17.9212,Water Intensity The Relevant Metric May Be Selected By The Entity,13.5643,High Confidence,Total Scope3 Emission Intensity The Relevant Metric May Be Selected By The Entity,12.2348,0.5976,0.002,Weak Match - Review
277,What are the total SOx emissions for the Current Year (Unit: Metric Tonne)?,SOx,24.8055,SOx,24.8055,Total Scope3 Emission Intensity The Relevant Metric May Be Selected By The Entity,19.5989,Total Scope1 And Scope2 Emissions Intensity The Relevant Metric May Be Selected By The Entity,17.9212,High Confidence,SOx,13.8086,0.8846,0.012,Failed Verification
279,What are the total NOx emissions for the Current Year (Unit: Metric Tonne)?,NOx,25.3542,NOx,25.3542,Total Scope3 Emission Intensity The Relevant Metric May Be Selected By The Entity,19.5989,Total Scope1 And Scope2 Emissions Intensity The Relevant Metric May Be Selected By The Entity,17.9212,High Confidence,NOx,13.8086,0.8846,0.01,Failed Verification
289,What is the water intensity per rupee of turnover in crores for the Current Year? (in kilolitres),Water Intensity Per Rupee Of Turnover,27.1056,Water Intensity Per Rupee Of Turnover,27.1056,Whether Water Withdrawal Or Consumption And Discharge In Areas Of Water Stress In Kilolitres Is Assured By Assurer,25.4427,Remarks For Assurance Of Water Withdrawal Or Consumption And Discharge In Areas Of Water Stress In Kilolitres,25.0171,High Confidence,Water Intensity Per Rupee Of Turnover,25.119,0.7442,0,Failed Verification
1189,What is the % of untreated water discharge?,Whether Water Withdrawal Or Consumption And Discharge In Areas Of Water Stress In Kilolitres Is Assured By Assurer,18.0904,Whether Water Withdrawal Or Consumption And Discharge In Areas Of Water Stress In Kilolitres Is Assured By Assurer,18.0904,Remarks For Assurance Of Water Withdrawal Or Consumption And Discharge In Areas Of Water Stress In Kilolitres,16.2496,Assurance Sub Type For Water Withdrawal Or Consumption And Discharge In Areas Of Water Stress In Kilolitres,15.6031,High Confidence,Whether Water Withdrawal Or Consumption And Discharge In Areas Of Water Stress In Kilolitres Is Assured By Assurer,9.0773,0.7653,0,Failed Verification
66,What is the total volume of fresh water withdrawal (in kilolitres) for the Current Year?,Total Volume Of Water Withdrawal,22.6962,Whether Water Withdrawal Or Consumption And Discharge In Areas Of Water Stress In Kilolitres Is Assured By Assurer,25.4427,Remarks For Assurance Of Water Withdrawal Or Consumption And Discharge In Areas Of Water Stress In Kilolitres,25.0171,Assurance Sub Type For Water Withdrawal Or Consumption And Discharge In Areas Of Water Stress In Kilolitres,24.3707,Ambiguous,Total Volume Of Water Withdrawal,20.7558,0.6951,0,Weak Match - Review
