District,State,Population_Weight,Urban_Rate,Informality_Rate
Kupwara,JAMMU AND KASHMIR,0.0007187929327064244,0.1278514180024661,0.9042667925005091
Badgam,JAMMU AND KASHMIR,0.0006224899053291004,0.14475162240003406,0.9066183555345139
Leh(Ladakh),JAMMU AND KASHMIR,0.0001102419385769267,0.3212486671324043,0.8457244271244055
Kargil,JAMMU AND KASHMIR,0.00011628312446536693,0.16147391159853772,0.8640838732429166
Punch,JAMMU AND KASHMIR,0.0003938002560648516,0.10358325192662542,0.9356659064789751
Rajouri,JAMMU AND KASHMIR,0.0005305466073167902,0.0819747352255382,0.9439772617328046
Kathua,JAMMU AND KASHMIR,0.0005090906935257202,0.1557992431823577,0.9097432551748151
Baramula,JAMMU AND KASHMIR,0.0008325018430345024,0.18858078812987764,0.8910090231761283
Bandipore,JAMMU AND KASHMIR,0.0003239297913048096,0.1789938415106652,0.8960592920660768
Srinagar,JAMMU AND KASHMIR,0.0010214509776095176,0.982771441318797,0.6645639175772771
Ganderbal,JAMMU AND KASHMIR,0.0002456495663394379,0.1752902541825046,0.883628637636093
Pulwama,JAMMU AND KASHMIR,0.00046284650981783096,0.12825088788167094,0.9133276379421882
Shupiyan,JAMMU AND KASHMIR,0.0002198570473398649,0.06517654040154287,0.9697926350575945
Anantnag,JAMMU AND KASHMIR,0.0008908515226757829,0.2544386155048194,0.9106493171675614
Kulgam,JAMMU AND KASHMIR,0.0003505646902915608,0.20785932469247914,0.932312127811051
Doda,JAMMU AND KASHMIR,0.00033855086512148017,0.08494428104208297,0.9411605987391847
Ramban,JAMMU AND KASHMIR,0.00023430799343363478,0.059594742362366386,0.9532119968102859
Kishtwar,JAMMU AND KASHMIR,0.00019052322894321308,0.07646961248420972,0.968644419634428
Udhampur,JAMMU AND KASHMIR,0.0004583414286118923,0.18922338568935426,0.9142729235712792
Reasi,JAMMU AND KASHMIR,0.0002598717484562976,0.11370359722904862,0.9656278313979599
Jammu,JAMMU AND KASHMIR,0.0012635352945326334,0.49351086033079394,0.79277696175031
Samba,JAMMU AND KASHMIR,0.00026336597367762236,0.1749798662418152,0.8647176207684538
Chamba,HIMACHAL PRADESH,0.0004286888272004848,0.06910018928138001,0.9462027485467032
Kangra,HIMACHAL PRADESH,0.0012471146658217848,0.06217959345031626,0.9135687912348445
Lahul AND Spiti,HIMACHAL PRADESH,2.6067531289504706e-05,0.0,0.9423011142783104
Kullu,HIMACHAL PRADESH,0.0003616477681620827,0.10974330167881974,0.9537744595821799
Mandi,HIMACHAL PRADESH,0.0008256785651383585,0.06848376816291254,0.9473147521010761
Hamirpur,HIMACHAL PRADESH,0.0003755759431461626,0.07207070802657228,0.9344879007125364
Una,HIMACHAL PRADESH,0.0004304173578996653,0.0980717971707997,0.8973495962464656
Bilaspur,HIMACHAL PRADESH,0.0003154432258653548,0.0728936726565113,0.932983671052777
Solan,HIMACHAL PRADESH,0.0004792646609404819,0.2108466778007008,0.8792911464022548
Sirmaur,HIMACHAL PRADESH,0.0004375874981434709,0.10956722662836445,0.936394127786583
Shimla,HIMACHAL PRADESH,0.000672260522904883,0.2556101981794677,0.896927787944712
Kinnaur,HIMACHAL PRADESH,6.947239892296367e-05,0.0,0.9462843637268317
Gurdaspur,PUNJAB,0.0018980993130112889,0.30591013741283885,0.7844852617038157
Kapurthala,PUNJAB,0.0006732168719491501,0.3666496939162261,0.775389995058009
Jalandhar,PUNJAB,0.001811604231445464,0.533505147359948,0.7126442276838534
Hoshiarpur,PUNJAB,0.0013103344579967811,0.23326712198307528,0.7990235566086228
Shahid Bhagat Singh Nagar,PUNJAB,0.0005056840097540434,0.20895180759314363,0.8020615635629799
Fatehgarh Sahib,PUNJAB,0.0004956522551420293,0.32783482755466103,0.7755496033050355
Ludhiana,PUNJAB,0.002889478150941275,0.6189969146072466,0.6934638333061682
Moga,PUNJAB,0.0008223495124635393,0.2570526177111972,0.825489568892583
Firozpur,PUNJAB,0.001675736598140935,0.30627201974561596,0.8296637334774489
Muktsar,PUNJAB,0.0007448422950158134,0.3330255133678627,0.8312378322613863
Faridkot,PUNJAB,0.0005099768442377225,0.3708667216406589,0.8026766477731524
Bathinda,PUNJAB,0.0011467310506830415,0.3867149065843552,0.800811153515652
Mansa,PUNJAB,0.0006357086642259389,0.2585990050359236,0.8478070351510074
Patiala,PUNJAB,0.0015655764199745284,0.42153665952154074,0.7569724231038931
Amritsar,PUNJAB,0.0020569399699465413,0.5832124220632935,0.7170077613775306
Tarn Taran,PUNJAB,0.0009246582136318047,0.1663971793662557,0.8502498337392017
Rupnagar,PUNJAB,0.00056540792498225,0.29006847181826456,0.7794676045288307
Sahibzada Ajit Singh Nagar,PUNJAB,0.0008214261979285733,0.5973947517462714,0.6957226676509985
Sangrur,PUNJAB,0.0013669423931351608,0.3492373213585659,0.7977082272526258
Barnala,PUNJAB,0.0004918235555140308,0.34580577682255625,0.8071456506030712
Chandigarh,CHANDIGARH,0.0008716568210463737,0.9701340965991547,0.4
Uttarkashi,UTTARAKHAND,0.00027260572592914236,0.07475517494575486,0.9397464395142698
Chamoli,UTTARAKHAND,0.0003234119753715147,0.12292583449608244,0.9135843920706078
Rudraprayag,UTTARAKHAND,0.00020009415215047673,0.03801671233110559,0.9451940954274727
Tehri Garhwal,UTTARAKHAND,0.0005111520469061094,0.1068967416101575,0.9178651300371301
Dehradun,UTTARAKHAND,0.001401236343103374,0.5413433057764881,0.7313254826549322
Garhwal,UTTARAKHAND,0.0005675915060470532,0.11622248484810183,0.896632067855732
Pithoragarh,UTTARAKHAND,0.0003992542535504646,0.12506251696889156,0.9068771912803406
Bageshwar,UTTARAKHAND,0.00021464007245848734,0.038834562760857165,0.944467837282022
Almora,UTTARAKHAND,0.000514104506174896,0.07498808414373012,0.9311344842674577
Champawat,UTTARAKHAND,0.0002144336067753554,0.13095541661141769,0.9024170760895639
Nainital,UTTARAKHAND,0.0007883726937846166,0.35349875947137743,0.8208902008146599
Udham Singh Nagar,UTTARAKHAND,0.0013617667113904096,0.35029506172541774,0.8273058047678814
Hardwar,UTTARAKHAND,0.0015612290785505026,0.3815139412841104,0.7917711962550708
Panchkula,HARYANA,0.0004635509707286771,0.5691609288305753,0.7035322806820902
