question,kalman_fused_match,fused_score,mha_score_raw,bm25_score_norm,kalman_gain,p_value,verification_status,alt_match_1,alt_fused_score_1
What is the scope 1 and scope 2 emissions intensity for the current year?,Whether Total Scope3 Emissions And Its Intensity Is Applicable To The Company,1.0,0.7696,1.0,0.0,0.0,Kalman Verified (High),Whether Details Of Green House Gas Emissions And Its Intensity Is Applicable To The Company,0.898
What is the scope 3 emissions intensity for the current year?,Whether Total Scope3 Emissions And Its Intensity Is Applicable To The Company,1.0,0.7843,1.0,0.0,0.0,Kalman Verified (High),Whether Details Of Green House Gas Emissions And Its Intensity Is Applicable To The Company,0.898
What was the Total Scope 1 and 2 intensity (Current Year) (Unit: Metric Tonne) - Physical Output?,Total Scope1 And Scope2 Emissions Intensity In Term Of Physical Output - Previous Year,1.0,0.711,1.0,0.0,0.0,Kalman Verified (High),Total Scope1 And Scope2 Emissions Intensity In Term Of Physical Output,0.9785
What is the scope 1 and scope 2 emissions intensity in terms of purchasing power parity for the current year?,Total Scope1 And Scope2 Emissions Intensity Per Rupee Of Turnover Adjusted For Purchasing Power Parity - Previous Year,1.0,0.8648,1.0,0.0,0.0,Kalman Verified (High),Total Scope1 And Scope2 Emissions Intensity Per Rupee Of Turnover Adjusted For Purchasing Power Parity,0.9978
What are the total PM emissions for the Current Year (Unit: Metric Tonne)?,Total Scope1 And Scope2 Emissions Intensity The Relevant Metric May Be Selected By The Entity - Previous Year,1.0,0.5302,1.0,0.0,0.0,Kalman Verified (High),Total Scope1 And Scope2 Emissions Intensity The Relevant Metric May Be Selected By The Entity,0.9433
What are the total SOx emissions for the Current Year (Unit: Metric Tonne)?,Total Scope1 And Scope2 Emissions Intensity The Relevant Metric May Be Selected By The Entity - Previous Year,1.0,0.5041,1.0,0.0,0.0,Kalman Verified (High),Total Scope1 And Scope2 Emissions Intensity The Relevant Metric May Be Selected By The Entity,0.9433
What are the total NOx emissions for the Current Year (Unit: Metric Tonne)?,Total Scope1 And Scope2 Emissions Intensity The Relevant Metric May Be Selected By The Entity - Previous Year,1.0,0.5283,1.0,0.0,0.0,Kalman Verified (High),Total Scope1 And Scope2 Emissions Intensity The Relevant Metric May Be Selected By The Entity,0.9433
What is the water intensity per rupee of turnover in crores for the Current Year? (in kilolitres),Water Intensity Per Rupee Of Turnover - Previous Year,1.0,0.8738,1.0,0.0,0.0,Kalman Verified (High),Water Intensity Per Rupee Of Turnover,0.9836
What is the % of untreated water discharge?,Water Discharge To Surface Water,1.0,0.5969,1.0,0.0,0.0,Kalman Verified (High),Does The Entity Display Product Information On The Product Over And Above What Is Mandated As Per Local Laws,0.9954
What is the total volume of fresh water withdrawal (in kilolitres) for the Current Year?,Total Volume Of Water Withdrawal - Previous Year,1.0,0.8273,1.0,0.0,0.0,Kalman Verified (High),Total Volume Of Water Withdrawal,0.962
What is the total volume of fresh water discharge (in kilolitres) for the Current Year?,Total Water Discharged In Kilolitres - Previous Year,1.0,0.7764,1.0,0.0,0.0,Kalman Verified (High),Total Water Discharged In Kilolitres,0.9415
What is the total volume of water consumed (in kilolitres) in areas of water stress for the Current Year?,Total Water Discharged In Kilolitres - Previous Year,1.0,0.6435,1.0,0.0,0.0,Kalman Verified (High),Total Water Discharged In Kilolitres Per Area - Facility Or Plant Located In Areas Of Water Stress Domain4 - Previous Year,0.9979
What is the total effluent discharge in the Current Year?,Cost Effluent Disposal,1.0,0.4596,1.0,0.0,0.0,Kalman Verified (High),Amount Provided In Current Year,0.8805
How much was the Water intensity in Current Year (in kilolitres) for physical output?,Water Intensity In Term Of Physical Output - Previous Year,1.0,0.823,1.0,0.0,0.0,Kalman Verified (High),Water Intensity In Term Of Physical Output,0.9991
What is the water intensity per rupee of turnover adjusted for Purchasing Power Parity in crores Current Year (in kilolitres) - PPP?,Water Intensity Per Rupee Of Turnover Adjusting For Purchasing Power Parity,1.0,0.8708,1.0,0.0,0.0,Kalman Verified (High),Water Intensity Per Rupee Of Turnover Adjusting For Purchasing Power Parity - Previous Year,0.9784
What is the energy intensity turnover for the current year?,Energy Intensity Per Rupee Of Turnover - Previous Year,1.0,0.7464,1.0,0.0,0.0,Kalman Verified (High),Energy Intensity Per Rupee Of Turnover,0.9366
Percentage of energy consumed from renewable sources?,Total Energy Consumed From Renewable Sources,1.0,0.8517,1.0,0.0,0.0,Kalman Verified (High),Total Energy Consumed From Non Renewable Sources,0.9533
What is the energy intensity in terms of physical output?,Energy Intensity In Term Of Physical Output,1.0,0.8932,1.0,0.0,0.0,Kalman Verified (High),Energy Intensity In Term Of Physical Output - Previous Year,0.9146
What is the energy intensity adjusted for Purchasing Power Parity for Current Year?,Energy Intensity Per Rupee Of Turnover Adjusting For Purchasing Power Parity,1.0,0.7562,1.0,0.0,0.0,Kalman Verified (High),Energy Intensity Per Rupee Of Turnover Adjusting For Purchasing Power Parity - Previous Year,0.9917
What is the waste intensity adjusted for Purchasing Power Parity for Current Year?,Waste Intensity Per Rupee Of Turnover Adjusting For Purchasing Power Parity,1.0,0.7863,1.0,0.0,0.0,Kalman Verified (High),Waste Intensity Per Rupee Of Turnover Adjusting For Purchasing Power Parity - Previous Year,0.9931
How much was the hazardous waste for the current year (in metric tonnes)?,Other Hazardous Waste - Previous Year,1.0,0.7547,1.0,0.0,0.0,Kalman Verified (High),Waste Intensity The Relevant Metric May Be Selected By The Entity - Previous Year,0.941
What is the waste recycled/recovered intensity for the current year?,Waste Recovered Through Recycled - Previous Year,1.0,0.8263,1.0,0.0,0.0,Kalman Verified (High),Waste Recovered Through Recycled,0.9692
Percentage of recycled or reused input material used in production (for manufacturing industry) or providing services (for service industry),Indicate In Put Material - Recycled Or Reused Input Material Used In Production Or Providing Services Domain8,1.0,0.6829,1.0,0.0,0.0,Kalman Verified (High),Indicate In Put Material - Recycled Or Reused Input Material Used In Production Or Providing Services Domain1,1.0
What was the total waste intensity (current year) (Unit: Metric Tonne) - Physical Output?,Waste Intensity In Term Of Physical Output - Previous Year,1.0,0.7732,1.0,0.0,0.0,Kalman Verified (High),Waste Intensity In Term Of Physical Output,0.9917
What is the waste intensity adjusted for Purchasing Power Parity for the current year?,Waste Intensity Per Rupee Of Turnover Adjusting For Purchasing Power Parity,1.0,0.7825,1.0,0.0,0.0,Kalman Verified (High),Waste Intensity Per Rupee Of Turnover Adjusting For Purchasing Power Parity - Previous Year,0.9931
