question,candidates,llm_final_match
% of data breaches involving PII data of customers,"['Remarks For Assurance Of Data Breaches Information Like Number Of Instances Of Data Breaches Along With Impact And Percentage Of Data Breaches Involving Personally Identifiable Information Of Customers', 'Pin Code Of Place Of Maintenance Of Computer Servers Storing Accounting Data', 'Percentage Of Data Breaches Involving Personally Identifiable Information Of Customers', 'Summary Of Quantitative Data About What Entity Manages As Capital']",Percentage Of Data Breaches Involving Personally Identifiable Information Of Customers
% of value chain partners (by value of business done with such partners) that were assessed for Health and Safety practices?,"['Names Of All Partners In Partnership Firm', 'Percentage Of Value Chain Partners By Value Of Business Done With Such Partners That Were Assessed For Environmental Impacts', 'Remarks For Assurance Of Percentage Of Value Chain Partners By Value Of Business Done With Such Partners That Were Assessed For Environmental Impacts', 'Safety Security Expenses']",Percentage Of Value Chain Partners By Value Of Business Done With Such Partners That Were Assessed For Environmental Impacts
Are ESG factors incorporated in the lending and investment decisions,"['Whether There Are Unconsolidated Structured Entities Controlled By Investment Entity', 'Percentage Of Investments In Related Parties In Total Investments', 'Percentage Of Investments In Related Parties In Total Investments - Previous Year', 'Whether There Are Changes In Acounting Estimates During The Year', 'Whether These Are In Accordance With The Books Of Accounts Maintained By The Company Explanatory', 'Description Of Factors That Make Up Goodwill Recognised']",Whether These Are In Accordance With The Books Of Accounts Maintained By The Company Explanatory
Are all complaints filed by the employees during current fiscal year closed,"['Number Of Complaints Filed During The Year - Working Conditions Complaints Member', 'Whether There Are Changes In Acounting Estimates During The Year', 'Number Of Complaints Filed During The Year - Health Safety Complaints Member', 'Number Of Employees In The Company At The End Of The Financial Year']",Number Of Complaints Filed During The Year - Working Conditions Complaints Member
Are any of its hospitals accredited with NABH or JIC? How many of its hospitals accredited with NABH or JIC?,"['Percentage Of Paid Up Capital Held By Foreign Holding Company And Or With Its Subsidiaries', 'Assurer Has Assured Whether The Entity Conducted Life Cycle Perspective Or Assessments For Any Of Its Products Or For Its Services', 'Remarks For Assurance Of Weblink Where Information On Products And Services Of The Entity Can Be Accessed', 'Has The Entity Conducted Life Cycle Perspective Or Assessments For Any Of Its Products Or For Its Services', 'Value Of Paid Up Capital Held By Foreign Holding Company And Or With Its Subsidiaries']",Has The Entity Conducted Life Cycle Perspective Or Assessments For Any Of Its Products Or For Its Services
Are the ESG related factors being monitored in investee companies/lending processes,"['Changes In Objectives Policies And Processes For Managing Risk', 'Whether There Are Changes In Acounting Estimates During The Year', 'Statement By Director Responsible For The Business Responsibility Report Highlighting ESGRelated Challenges Targets And Achievements Explanatory Text Block', 'Assurance Sub Type For Statement By Director Responsible For The Business Responsibility Report Highlighting ESGRelated Challenges Targets And Achievements', 'Whether These Are In Accordance With The Books Of Accounts Maintained By The Company Explanatory', 'Description Of Factors That Make Up Goodwill Recognised']",Statement By Director Responsible For The Business Responsibility Report Highlighting ESGRelated Challenges Targets And Achievements Explanatory Text Block
Are the entity’s manufacturing facilties WRAP certified,"['SOx', 'Number Of Certified Emission Rights Under Certification', 'SOx - Previous Year', 'Number Of Certified Emission Rights Held As Inventory', 'Whether These Are In Accordance With The Books Of Accounts Maintained By The Company Explanatory']",Whether These Are In Accordance With The Books Of Accounts Maintained By The Company Explanatory
Are the production units and R&D centres certified to International Aerospace Standard AS9100D and other required aviation standards,"['Geological And Geophysical Expenditure Pertaining To Exploration And Production Activities', 'Expenditure On Production Transportation And Other Expenditure Pertaining To Exploration And Production Activities', 'Other Expenditure Pertaining To Exploration And Production Activities', 'Percentage Of RAnd D', 'Details Of Improvements In Environmental And Social Impacts Due To RAnd D']",Percentage Of RAnd D
Are there any goals/targets/commitments set towards carbon neutrality/ Net Zero,"['Remarks For Assurance Of Specific Commitments Goals And Targets Set By The Entity With Defined Timelines', 'Assurance Sub Type For Specific Commitments Goals And Targets Set By The Entity With Defined Timelines', 'Specific Commitments Goals And Targets Set By The Entity With Defined Timelines Explanatory Text Block - Principle6 Member', 'Whether There Are Any Reportable Segments', 'Whether There Are Any Major Customers']",Remarks For Assurance Of Specific Commitments Goals And Targets Set By The Entity With Defined Timelines
Are there any initiatives to promot sustainable shipping practices or reduce the carbon footprint of port operations,"['Remarks For Assurance Of Details Of Number Of Locations Where Plants And Or Operations Or Offices Of The Entity Are Situated', 'Whether There Are Any Construction Contracts', 'Whether There Are Any Reportable Segments', 'Whether There Are Any Major Customers', 'Does The Entity Have Procedures In Place For Sustainable Sourcing']",Does The Entity Have Procedures In Place For Sustainable Sourcing
Are there any initiatives towards reduction in GHG emissions,"['Whether There Are Any Contingent Liabilities', 'Total Scope1 And Scope2 Emissions Intensity The Relevant Metric May Be Selected By The Entity', 'Total Scope2 Emissions', 'Whether There Are Any Reportable Segments', 'Whether There Are Any Major Customers']",Total Scope1 And Scope2 Emissions Intensity The Relevant Metric May Be Selected By The Entity
Are there any intiatives taken with respect to sustainable agriclutire by the company,"['Whether There Are Any Contingent Liabilities', 'Whether There Are Any Major Customers', 'Whether Disclose Any Significant Adverse Impact To The Environment Arising From The Value Chain Of The Entity What Mitigation Or Adaptation Measures Have Been Taken By The Entity In This Regard Is Assured By Assurer', 'Whether These Are In Accordance With The Books Of Accounts Maintained By The Company Explanatory', 'Did Your Entity Carry Out Any Survey With Regard To Consumer Satisfaction Relating To The Major Products Or Services Of The Entity Significant Locations Of Operation Of The Entity Or The Entity As AWhole', 'Does The Entity Have Procedures In Place For Sustainable Sourcing', 'Steps Taken By The Company For Utilising Alternate Sources Of Energy Explanatory']",Whether Disclose Any Significant Adverse Impact To The Environment Arising From The Value Chain Of The Entity What Mitigation Or Adaptation Measures Have Been Taken By The Entity In This Regard Is Assured By Assurer
"Are there any social or environmental concerns and/or risks arising from production or disposal of products, as identified in the Life Cycle Perspective/Assessments","['Assurance Sub Type For Details Of Significant Social Or Environmental Concerns From Production Or Disposal Of Product Or Service With Action Taken To Mitigate The Same', 'Has The Entity Conducted Life Cycle Perspective Or Assessments For Any Of Its Products Or For Its Services', 'Details Of Any Corrective Actions Taken Or Underway To Address Significant Risks Or Concerns Arising From The Assessments Of Plant And Office Explanatory Text Block', 'CSR Project Or Activity Identified', 'Remarks For Assurance Of Details Of Significant Social Or Environmental Concerns From Production Or Disposal Of Product Or Service With Action Taken To Mitigate The Same', 'Whether There Are Any Major Customers']",Assurance Sub Type For Details Of Significant Social Or Environmental Concerns From Production Or Disposal Of Product Or Service With Action Taken To Mitigate The Same
Are there any technicians appointed during the supply chain process to detect or monitor the agriculture or crop management process,"['Number Of Complaints Filed During The Year - Discrimination At Work Place Member', 'Whether There Are Changes In Acounting Estimates During The Year', 'Percentage Of Discrimination At Work Place Of Value Chain Partners P5', 'Notes Management And Process Disclosures Explanatory Text Block', 'Whether There Are Any Related Party Transactions During Year', 'Whether There Is Any Change In Functional Currency During The Year', 'Does The Entity Have Procedures In Place For Sustainable Sourcing']",Does The Entity Have Procedures In Place For Sustainable Sourcing
Average attendance for board meeting in the current FY,"['Date Of Board Meeting When Final Accounts Were Approved', 'Details Of Specified Committee Of The Board Or Director Responsible For Decision Making On Sustainability Related Issues Explanatory Text Block', 'Assurance Sub Type For Whether The Entity Have ASpecified Committee Of The Board Or Director Responsible For Decision Making On Sustainability Related Issues', 'Does The Entity Have ASpecified Committee Of The Board Or Director Responsible For Decision Making On Sustainability Related Issues', 'Date Of Board Of Directors Meeting In Which Board Report Referred To Under Section 134 Was Approved']",Date Of Board Of Directors Meeting In Which Board Report Referred To Under Section 134 Was Approved
Count of high consquence work related injury or ill health of (excluding fatalities),"['Capital Work In Progress', 'High Consequence Work Related Injury Or Ill Health Excluding Fatalities - Workers Member', 'Rates And Taxes Excluding Taxes On Income', 'High Consequence Work Related Injury Or Ill Health Excluding Fatalities - Employees Member']",High Consequence Work Related Injury Or Ill Health Excluding Fatalities - Workers Member
Count of high consquence work related injury or ill health of employees (excluding fatalities),"['Commission Employees', 'High Consequence Work Related Injury Or Ill Health Excluding Fatalities - Employees Member', 'High Consequence Work Related Injury Or Ill Health Excluding Fatalities - Employees Member - Previous Year', 'Rates And Taxes Excluding Taxes On Income', 'High Consequence Work Related Injury Or Ill Health Excluding Fatalities - Workers Member']",High Consequence Work Related Injury Or Ill Health Excluding Fatalities - Employees Member
