question_id,original_question_text,combined_query,global_optimal_match,optimal_score,alt_match_1,alt_score_1,alt_match_2,alt_score_2,alt_match_3,alt_score_3,confidence_flag,final_selected_column,true_bm25_score,ncd_score,p_value,verification_status
Q_TURNOVER,Turnover,Turnover,Retention Rates Permanent Employees That Took Parental Leave - Other Gender Member,15.4034,Retention Rates Permanent Employees That Took Parental Leave - Male Member,15.9665,Retention Rates Permanent Employees That Took Parental Leave - Gender Member,15.9665,Retention Rates Permanent Employees That Took Parental Leave - Female Member,15.9665,Low Confidence,Retention Rates Permanent Employees That Took Parental Leave - Other Gender Member,0.0,0.8642,1.0,Failed Verification
Q_NET_WORTH,Net Worth,Net Worth,Net Worth,27.9789,Net Worth,27.9789,Web Link Public Policy Position Advocated - Public Policy38,0.0,Water Discharge To Groundwater Per Area - Facility Or Plant Located In Areas Of Water Stress Domain5,0.0,High Confidence,Net Worth,27.7306,0.1176,0.0,Mathematically Verified
Q_RND_PCT,Percentage Of RAnd D,Percentage Of RAnd D,Percentage Of RAnd D,25.3286,Percentage Of RAnd D,25.3286,Percentage Of RAnd D - Previous Year,23.2483,Remarks For Assurance Of Percentage Of RAnd DAnd Capital Expenditure Investments In Specific Technologies,17.9395,High Confidence,Percentage Of RAnd D,24.8792,0.1071,0.0,Mathematically Verified
Q_ANTI_CORRUPTION,Does The Entity Have An Anti Corruption Or Anti Bribery Policy,Does The Entity Have An Anti Corruption Or Anti Bribery Policy,Details For The Entity Have Not Applicable An Anti Corruption Or Anti Bribery Policy Explanatory Text Block,33.8475,Does The Entity Have An Anti Corruption Or Anti Bribery Policy,43.9274,Details For The Entity Have Not Applicable An Anti Corruption Or Anti Bribery Policy Explanatory Text Block,33.8475,Anti Corruption Or Anti Bribery Policy Explanatory Text Block,29.429,High Confidence,Details For The Entity Have Not Applicable An Anti Corruption Or Anti Bribery Policy Explanatory Text Block,42.1335,0.4388,0.0,Mathematically Verified
Q1,What is the scope 1 and scope 2 emissions intensity for the current year?,What is the scope 1 and scope 2 emissions intensity for the current year? Number Of Employees In The Company At The End Of The Financial Year,Total Scope1 And Scope2 Emissions Intensity Per Rupee Of Turnover,26.4143,Total Scope1 And Scope2 Emissions Intensity The Relevant Metric May Be Selected By The Entity,27.6076,Total Scope1 And Scope2 Emissions Intensity In Term Of Physical Output,27.3716,Total Scope1 And Scope2 Emissions Intensity Per Rupee Of Turnover,26.4143,Ambiguous,Total Scope1 And Scope2 Emissions Intensity Per Rupee Of Turnover,12.0004,0.6949,0.002,Weak Match - Review
Q2,What is the scope 3 emissions intensity for the current year?,What is the scope 3 emissions intensity for the current year? Number Of Employees In The Company At The End Of The Financial Year,Whether Total Scope3 Emissions And Its Intensity Is Applicable To The Company,23.881,Whether Details Of Employees As At The End Of Financial Year Is Assured By Assurer,23.9238,Total Scope3 Emission Intensity The Relevant Metric May Be Selected By The Entity,23.9138,Whether Total Scope3 Emissions And Its Intensity Is Applicable To The Company,23.881,Ambiguous,Whether Total Scope3 Emissions And Its Intensity Is Applicable To The Company,22.2092,0.6195,0.0,Weak Match - Review
Q3,What was the Total Scope 1 and 2 intensity (Current Year) (Unit: Metric Tonne) - Physical Output?,What was the Total Scope 1 and 2 intensity (Current Year) (Unit: Metric Tonne) - Physical Output? unit Denominator,Total Scope1 And Scope2 Emissions Intensity In Term Of Physical Output,38.1727,Total Scope1 And Scope2 Emissions Intensity In Term Of Physical Output,38.1727,Total Scope1 And Scope2 Emissions Intensity The Relevant Metric May Be Selected By The Entity,26.437,Waste Intensity In Term Of Physical Output,25.5586,High Confidence,Total Scope1 And Scope2 Emissions Intensity In Term Of Physical Output,23.929,0.633,0.0,Weak Match - Review
Q4,What is the scope 1 and scope 2 emissions intensity in terms of purchasing power parity for the current year?,What is the scope 1 and scope 2 emissions intensity in terms of purchasing power parity for the current year? Number Of Employees In The Company At The End Of The Financial Year,Total Scope1 And Scope2 Emissions Intensity Per Rupee Of Turnover Adjusted For Purchasing Power Parity,42.9276,Total Scope1 And Scope2 Emissions Intensity Per Rupee Of Turnover Adjusted For Purchasing Power Parity,42.9276,Total Scope1 And Scope2 Emissions Intensity In Term Of Physical Output,34.4871,Waste Intensity Per Rupee Of Turnover Adjusting For Purchasing Power Parity,31.0467,High Confidence,Total Scope1 And Scope2 Emissions Intensity Per Rupee Of Turnover Adjusted For Purchasing Power Parity,31.0409,0.6594,0.0,Weak Match - Review
Q5,What are the total PM emissions for the Current Year (Unit: Metric Tonne)?,What are the total PM emissions for the Current Year (Unit: Metric Tonne)? Whether There Are Changes In Acounting Estimates During The Year,Total Scope3 Emission Intensity The Relevant Metric May Be Selected By The Entity,19.5989,Total Scope3 Emission Intensity The Relevant Metric May Be Selected By The Entity,19.5989,Number Of Complaints Filed During The Year - Discrimination At Work Place Member,19.2747,Total Scope1 And Scope2 Emissions Intensity The Relevant Metric May Be Selected By The Entity,17.9212,Ambiguous,Total Scope3 Emission Intensity The Relevant Metric May Be Selected By The Entity,14.1205,0.6923,0.0,Weak Match - Review
Q6,What are the total SOx emissions for the Current Year (Unit: Metric Tonne)?,What are the total SOx emissions for the Current Year (Unit: Metric Tonne)? Whether There Are Changes In Acounting Estimates During The Year,SOx,24.8055,SOx,24.8055,Total Scope3 Emission Intensity The Relevant Metric May Be Selected By The Entity,19.5989,Number Of Complaints Filed During The Year - Discrimination At Work Place Member,19.2747,High Confidence,SOx,13.8086,0.925,0.006,Failed Verification
