question_id,question_text,data_type,primary_source,extraction_target,verification_status,final_bm25_score
Q_TURNOVER,Turnover,numeric,BRSR,No Match Found,Unverified - Needs Manual Review,0.0
Q_NET_WORTH,Net Worth,numeric,BRSR,No Match Found,Unverified - Needs Manual Review,0.0
Q_RND_PCT,Percentage Of RAnd D,numeric,BRSR,No Match Found,Unverified - Needs Manual Review,0.0
Q_ANTI_CORRUPTION,Does The Entity Have An Anti Corruption Or Anti Bribery Policy,boolean,BRSR,No Match Found,Unverified - Needs Manual Review,0.0
Q1,What is the scope 1 and scope 2 emissions intensity for the current year?,numeric,BRSR,Total Scope1 And Scope2 Emissions Intensity The Relevant Metric May Be Selected By The Entity,Locked (BRSR: High Confidence),27.6076
Q2,What is the scope 3 emissions intensity for the current year?,numeric,BRSR,Whether Total Scope3 Emissions And Its Intensity Is Applicable To The Company,Locked (BRSR: High Confidence),22.1995
Q3,What was the Total Scope 1 and 2 intensity (Current Year) (Unit: Metric Tonne) - Physical Output?,numeric,BRSR,Total Scope1 And Scope2 Emissions Intensity In Term Of Physical Output,Locked (BRSR: High Confidence),38.1727
Q4,What is the scope 1 and scope 2 emissions intensity in terms of purchasing power parity for the current year?,numeric,BRSR,Total Scope1 And Scope2 Emissions Intensity Per Rupee Of Turnover Adjusted For Purchasing Power Parity,Locked (BRSR: High Confidence),42.9276
Q5,What are the total PM emissions for the Current Year (Unit: Metric Tonne)?,numeric,BRSR,Total Scope3 Emission Intensity The Relevant Metric May Be Selected By The Entity,Locked (BRSR: High Confidence),19.5989
Q6,What are the total SOx emissions for the Current Year (Unit: Metric Tonne)?,numeric,BRSR,SOx,Locked (BRSR: High Confidence),24.8055
Q7,What are the total NOx emissions for the Current Year (Unit: Metric Tonne)?,numeric,BRSR,NOx,Locked (BRSR: High Confidence),25.3542
Q8,What is the water intensity per rupee of turnover in crores for the Current Year? (in kilolitres),numeric,BRSR,Water Intensity Per Rupee Of Turnover,Locked (BRSR: High Confidence),27.1056
Q9,What is the % of untreated water discharge?,numeric,BRSR,Whether Water Withdrawal Or Consumption And Discharge In Areas Of Water Stress In Kilolitres Is Assured By Assurer,Locked (BRSR: High Confidence),18.0904
Q10,What is the total volume of fresh water withdrawal (in kilolitres) for the Current Year?,numeric,BRSR,Total Volume Of Water Withdrawal,Locked (BRSR: Ambiguous),22.6962
Q11,What is the total volume of fresh water discharge (in kilolitres) for the Current Year?,numeric,BRSR,Total Volume Of Water Consumption,Locked (BRSR: Ambiguous),23.5472
Q12,What is the total volume of water consumed (in kilolitres) in areas of water stress for the Current Year?,numeric,BRSR,Assurance Sub Type For Water Withdrawal Or Consumption And Discharge In Areas Of Water Stress In Kilolitres,Locked (BRSR: Ambiguous),29.2332
Q13,What is the total effluent discharge in the Current Year?,numeric,BRSR,It Is Planned To Be Done In The Next Financial Year - Principle7 Member,Unverified - Needs Manual Review,13.3011
Q14,How much was the Water intensity in Current Year (in kilolitres) for physical output?,numeric,BRSR,Water Intensity In Term Of Physical Output,Locked (BRSR: High Confidence),31.0295
