question_id,question_text,global_optimal_match,optimal_score,alt_match_1,alt_score_1,alt_match_2,alt_score_2,alt_match_3,alt_score_3,confidence_flag,final_selected_column
Q1,What is the scope 1 and scope 2 emissions intensity for the current year?,Total Scope1 And Scope2 Emissions Intensity The Relevant Metric May Be Selected By The Entity,27.6076,Total Scope1 And Scope2 Emissions Intensity The Relevant Metric May Be Selected By The Entity,27.6076,Total Scope1 And Scope2 Emissions Intensity Per Rupee Of Turnover,24.779,Total Scope1 And Scope2 Emissions Intensity In Term Of Physical Output,24.0315,High Confidence,Total Scope1 And Scope2 Emissions Intensity The Relevant Metric May Be Selected By The Entity
Q2,What is the scope 3 emissions intensity for the current year?,Whether Total Scope3 Emissions And Its Intensity Is Applicable To The Company,22.1995,Total Scope3 Emission Intensity The Relevant Metric May Be Selected By The Entity,23.9138,Whether Total Scope3 Emissions And Its Intensity Is Applicable To The Company,22.1995,Total Scope1 And Scope2 Emissions Intensity The Relevant Metric May Be Selected By The Entity,20.7318,High Confidence,Whether Total Scope3 Emissions And Its Intensity Is Applicable To The Company
Q3,What was the Total Scope 1 and 2 intensity (Current Year) (Unit: Metric Tonne) - Physical Output?,Total Scope1 And Scope2 Emissions Intensity In Term Of Physical Output,38.1727,Total Scope1 And Scope2 Emissions Intensity In Term Of Physical Output,38.1727,Total Scope1 And Scope2 Emissions Intensity The Relevant Metric May Be Selected By The Entity,26.437,Waste Intensity In Term Of Physical Output,25.5586,High Confidence,Total Scope1 And Scope2 Emissions Intensity In Term Of Physical Output
Q4,What is the scope 1 and scope 2 emissions intensity in terms of purchasing power parity for the current year?,Total Scope1 And Scope2 Emissions Intensity Per Rupee Of Turnover Adjusted For Purchasing Power Parity,42.9276,Total Scope1 And Scope2 Emissions Intensity Per Rupee Of Turnover Adjusted For Purchasing Power Parity,42.9276,Total Scope1 And Scope2 Emissions Intensity In Term Of Physical Output,34.4871,Waste Intensity Per Rupee Of Turnover Adjusting For Purchasing Power Parity,31.0467,High Confidence,Total Scope1 And Scope2 Emissions Intensity Per Rupee Of Turnover Adjusted For Purchasing Power Parity
Q5,What are the total PM emissions for the Current Year (Unit: Metric Tonne)?,Total Scope3 Emission Intensity The Relevant Metric May Be Selected By The Entity,19.5989,Total Scope3 Emission Intensity The Relevant Metric May Be Selected By The Entity,19.5989,Total Scope1 And Scope2 Emissions Intensity The Relevant Metric May Be Selected By The Entity,17.9212,Water Intensity The Relevant Metric May Be Selected By The Entity,13.5643,High Confidence,Total Scope3 Emission Intensity The Relevant Metric May Be Selected By The Entity
Q6,What are the total SOx emissions for the Current Year (Unit: Metric Tonne)?,SOx,24.8055,SOx,24.8055,Total Scope3 Emission Intensity The Relevant Metric May Be Selected By The Entity,19.5989,Total Scope1 And Scope2 Emissions Intensity The Relevant Metric May Be Selected By The Entity,17.9212,High Confidence,SOx
Q7,What are the total NOx emissions for the Current Year (Unit: Metric Tonne)?,NOx,25.3542,NOx,25.3542,Total Scope3 Emission Intensity The Relevant Metric May Be Selected By The Entity,19.5989,Total Scope1 And Scope2 Emissions Intensity The Relevant Metric May Be Selected By The Entity,17.9212,High Confidence,NOx
Q8,What is the water intensity per rupee of turnover in crores for the Current Year? (in kilolitres),Water Intensity Per Rupee Of Turnover,27.1056,Water Intensity Per Rupee Of Turnover,27.1056,Whether Water Withdrawal Or Consumption And Discharge In Areas Of Water Stress In Kilolitres Is Assured By Assurer,25.4427,Remarks For Assurance Of Water Withdrawal Or Consumption And Discharge In Areas Of Water Stress In Kilolitres,25.0171,High Confidence,Water Intensity Per Rupee Of Turnover
Q9,What is the % of untreated water discharge?,Whether Water Withdrawal Or Consumption And Discharge In Areas Of Water Stress In Kilolitres Is Assured By Assurer,18.0904,Whether Water Withdrawal Or Consumption And Discharge In Areas Of Water Stress In Kilolitres Is Assured By Assurer,18.0904,Remarks For Assurance Of Water Withdrawal Or Consumption And Discharge In Areas Of Water Stress In Kilolitres,16.2496,Assurance Sub Type For Water Withdrawal Or Consumption And Discharge In Areas Of Water Stress In Kilolitres,15.6031,High Confidence,Whether Water Withdrawal Or Consumption And Discharge In Areas Of Water Stress In Kilolitres Is Assured By Assurer
Q10,What is the total volume of fresh water withdrawal (in kilolitres) for the Current Year?,Total Volume Of Water Withdrawal,22.6962,Whether Water Withdrawal Or Consumption And Discharge In Areas Of Water Stress In Kilolitres Is Assured By Assurer,25.4427,Remarks For Assurance Of Water Withdrawal Or Consumption And Discharge In Areas Of Water Stress In Kilolitres,25.0171,Assurance Sub Type For Water Withdrawal Or Consumption And Discharge In Areas Of Water Stress In Kilolitres,24.3707,Ambiguous,Total Volume Of Water Withdrawal
Q11,What is the total volume of fresh water discharge (in kilolitres) for the Current Year?,Total Volume Of Water Consumption,23.5472,Whether Water Withdrawal Or Consumption And Discharge In Areas Of Water Stress In Kilolitres Is Assured By Assurer,25.4427,Remarks For Assurance Of Water Withdrawal Or Consumption And Discharge In Areas Of Water Stress In Kilolitres,25.0171,Assurance Sub Type For Water Withdrawal Or Consumption And Discharge In Areas Of Water Stress In Kilolitres,24.3707,Ambiguous,Total Volume Of Water Consumption
Q12,What is the total volume of water consumed (in kilolitres) in areas of water stress for the Current Year?,Assurance Sub Type For Water Withdrawal Or Consumption And Discharge In Areas Of Water Stress In Kilolitres,29.2332,Whether Water Withdrawal Or Consumption And Discharge In Areas Of Water Stress In Kilolitres Is Assured By Assurer,30.1677,Remarks For Assurance Of Water Withdrawal Or Consumption And Discharge In Areas Of Water Stress In Kilolitres,29.8797,Assurance Sub Type For Water Withdrawal Or Consumption And Discharge In Areas Of Water Stress In Kilolitres,29.2332,Ambiguous,Assurance Sub Type For Water Withdrawal Or Consumption And Discharge In Areas Of Water Stress In Kilolitres
Q13,What is the total effluent discharge in the Current Year?,It Is Planned To Be Done In The Next Financial Year - Principle7 Member,13.3011,Total Scope3 Emission Intensity The Relevant Metric May Be Selected By The Entity,13.9988,It Is Planned To Be Done In The Next Financial Year - Principle3 Member,13.3011,It Is Planned To Be Done In The Next Financial Year - Principle9 Member,13.3011,Low Confidence,It Is Planned To Be Done In The Next Financial Year - Principle7 Member
Q14,How much was the Water intensity in Current Year (in kilolitres) for physical output?,Water Intensity In Term Of Physical Output,31.0295,Water Intensity In Term Of Physical Output,31.0295,Energy Intensity In Term Of Physical Output,27.7507,Waste Intensity In Term Of Physical Output,27.7507,High Confidence,Water Intensity In Term Of Physical Output
Q15,What is the water intensity per rupee of turnover adjusted for Purchasing Power Parity in crores Current Year (in kilolitres) - PPP?,Water Intensity Per Rupee Of Turnover Adjusting For Purchasing Power Parity,46.6543,Water Intensity Per Rupee Of Turnover Adjusting For Purchasing Power Parity,46.6543,Waste Intensity Per Rupee Of Turnover Adjusting For Purchasing Power Parity,43.838,Energy Intensity Per Rupee Of Turnover Adjusting For Purchasing Power Parity,43.838,High Confidence,Water Intensity Per Rupee Of Turnover Adjusting For Purchasing Power Parity
Q16,What is the energy intensity turnover for the current year?,Energy Intensity The Relevant Metric May Be Selected By The Entity,17.8605,Energy Intensity Per Rupee Of Turnover Adjusting For Purchasing Power Parity,23.5371,Waste Intensity Per Rupee Of Turnover Adjusting For Purchasing Power Parity,18.0731,Water Intensity Per Rupee Of Turnover Adjusting For Purchasing Power Parity,18.0731,High Confidence,Energy Intensity The Relevant Metric May Be Selected By The Entity
Q17,Percentage of energy consumed from renewable sources?,Total Energy Consumed From Renewable Sources,32.9606,Total Energy Consumed From Renewable Sources,32.9606,Total Energy Consumed From Non Renewable Sources,31.6071,Total Energy Consumed From Renewable And Non Renewable Sources,31.3422,High Confidence,Total Energy Consumed From Renewable Sources
Q18,What is the energy intensity in terms of physical output?,Energy Intensity In Term Of Physical Output,42.9809,Energy Intensity In Term Of Physical Output,42.9809,Energy Intensity In Term Of Physical Output - Previous Year,39.7188,Water Intensity In Term Of Physical Output,36.6194,High Confidence,Energy Intensity In Term Of Physical Output
Q19,What is the energy intensity adjusted for Purchasing Power Parity for Current Year?,Energy Intensity Per Rupee Of Turnover Adjusting For Purchasing Power Parity,34.8178,Energy Intensity Per Rupee Of Turnover Adjusting For Purchasing Power Parity,34.8178,Total Scope1 And Scope2 Emissions Intensity Per Rupee Of Turnover Adjusted For Purchasing Power Parity,31.6383,Water Intensity Per Rupee Of Turnover Adjusting For Purchasing Power Parity,29.3538,High Confidence,Energy Intensity Per Rupee Of Turnover Adjusting For Purchasing Power Parity
Q20,What is the waste intensity adjusted for Purchasing Power Parity for Current Year?,Waste Intensity Per Rupee Of Turnover Adjusting For Purchasing Power Parity,33.8807,Waste Intensity Per Rupee Of Turnover Adjusting For Purchasing Power Parity,33.8807,Total Scope1 And Scope2 Emissions Intensity Per Rupee Of Turnover Adjusted For Purchasing Power Parity,31.6383,Energy Intensity Per Rupee Of Turnover Adjusting For Purchasing Power Parity,29.3538,High Confidence,Waste Intensity Per Rupee Of Turnover Adjusting For Purchasing Power Parity
Q21,How much was the hazardous waste for the current year (in metric tonnes)?,Total Waste Recovered,16.9181,Waste Recovered Through Recycled,23.3311,Amount Of Recycled - Hazardous Waste Member,20.1414,Total Waste Recovered,16.9181,High Confidence,Total Waste Recovered
Q22,What is the waste recycled/recovered intensity for the current year?,Waste Recovered Through Recycled,23.3311,Waste Recovered Through Recycled,23.3311,Amount Of Recycled - Hazardous Waste Member,20.1414,Waste Intensity The Relevant Metric May Be Selected By The Entity,16.9233,High Confidence,Waste Recovered Through Recycled
Q23,Percentage of recycled or reused input material used in production (for manufacturing industry) or providing services (for service industry),Remarks For Assurance Of Details Of Percentage Of Recycled Or Reused Input Material To Total Material By Value Used In Production Or Providing Services,39.1277,Remarks For Assurance Of Details Of Percentage Of Recycled Or Reused Input Material To Total Material By Value Used In Production Or Providing Services,39.1277,Indicate In Put Material - Recycled Or Reused Input Material Used In Production Or Providing Services Domain3,38.6461,Indicate In Put Material - Recycled Or Reused Input Material Used In Production Or Providing Services Domain4,38.6461,Ambiguous,Remarks For Assurance Of Details Of Percentage Of Recycled Or Reused Input Material To Total Material By Value Used In Production Or Providing Services
Q24,What was the total waste intensity (current year) (Unit: Metric Tonne) - Physical Output?,Waste Intensity In Term Of Physical Output,30.8291,Waste Intensity In Term Of Physical Output,30.8291,Energy Intensity In Term Of Physical Output,25.5586,Water Intensity In Term Of Physical Output,25.5586,High Confidence,Waste Intensity In Term Of Physical Output
Q25,What is the waste intensity adjusted for Purchasing Power Parity for the current year?,Waste Intensity The Relevant Metric May Be Selected By The Entity,16.9233,Waste Intensity Per Rupee Of Turnover Adjusting For Purchasing Power Parity,33.8807,Total Scope1 And Scope2 Emissions Intensity Per Rupee Of Turnover Adjusted For Purchasing Power Parity,31.6383,Energy Intensity Per Rupee Of Turnover Adjusting For Purchasing Power Parity,29.3538,High Confidence,Waste Intensity The Relevant Metric May Be Selected By The Entity
Q26,Turnover of products and/or services as a percentage of turnover from all products/service that carry information about the safe and responsible usage?,Remarks For Assurance Of Turnover Of Products And Or Services As APercentage Of Turnover From All Products Or Service That Carry Information About As APercentage To Total Turnover,45.7362,Remarks For Assurance Of Turnover Of Products And Or Services As APercentage Of Turnover From All Products Or Service That Carry Information About As APercentage To Total Turnover,45.7362,Assurance Sub Type For Turnover Of Products And Or Services As APercentage Of Turnover From All Products Or Service That Carry Information About As APercentage To Total Turnover,45.3533,Whether Turnover Of Products And Or Services As APercentage Of Turnover From All Products Or Service That Carry Information About As APercentage To Total Turnover Is Assured By Assurer,43.6791,Ambiguous,Remarks For Assurance Of Turnover Of Products And Or Services As APercentage Of Turnover From All Products Or Service That Carry Information About As APercentage To Total Turnover
Q27,What is the clinker factor ratio?,It Is Planned To Be Done In The Next Financial Year - Principle4 Member,9.5512,Does The Entity Display Product Information On The Product Over And Above What Is Mandated As Per Local Laws,9.7985,It Is Planned To Be Done In The Next Financial Year - Principle5 Member,9.5512,It Is Planned To Be Done In The Next Financial Year - Principle8 Member,9.5512,Low Confidence,It Is Planned To Be Done In The Next Financial Year - Principle4 Member
Q28,What is fly ash % utilisation in current year?,It Is Planned To Be Done In The Next Financial Year - Principle2 Member,12.2885,It Is Planned To Be Done In The Next Financial Year - Principle2 Member,12.2885,It Is Planned To Be Done In The Next Financial Year - Principle9 Member,12.2885,It Is Planned To Be Done In The Next Financial Year - Principle6 Member,12.2885,Low Confidence,It Is Planned To Be Done In The Next Financial Year - Principle2 Member
Q29,Is the company investing in new generation aircraft fleet? Has the number increased as compared to previous year?,Percentage Of Investments In Related Parties In Total Investments - Previous Year,17.2139,Percentage Of Investments In Related Parties In Total Investments - Previous Year,17.2139,Whether CSRIs Applicable As Per Section135 Of Companies Act2013,16.0192,Whether CSRIs Applicable As Per Section135 Of Companies Act2013 Is Assured By Assurer,15.4858,High Confidence,Percentage Of Investments In Related Parties In Total Investments - Previous Year
Q30,"What percentage of the total virgin raw material does the company produced and/or purchased covered by FSC, PEFC and/or SFI certification?",What Percentage Of Total Procurement By Value Does It Constitute,20.3383,What Percentage Of Total Procurement By Value Does It Constitute,20.3383,Percentage Of Purchases From Trading Houses In Total Purchases For Concentration Of Purchases,16.7228,Percentage Of Purchases From Trading Houses In Total Purchases For Concentration Of Purchases - Previous Year,15.9892,High Confidence,What Percentage Of Total Procurement By Value Does It Constitute
