question_text,best_match,mha_similarity_score,verification_status,alt_match_1,alt_score_1,alt_match_2,alt_score_2
What is the scope 1 and scope 2 emissions intensity for the current year?,Total Scope1 And Scope2 Emissions Intensity In Term Of Physical Output - Previous Year,0.8793,High Confidence (MHA),Total Scope1 And Scope2 Emissions Intensity The Relevant Metric May Be Selected By The Entity - Previous Year,0.8741,Total Scope1 Emissions - Previous Year,0.8655
What is the scope 3 emissions intensity for the current year?,Total Scope3 Emissions - Previous Year,0.8489,High Confidence (MHA),Remarks For Assurance Of Details Of Total Scope3 Emissions And Its Intensity,0.8312,Total Scope3 Emissions,0.8176
What was the Total Scope 1 and 2 intensity (Current Year) (Unit: Metric Tonne) - Physical Output?,Total Scope1 And Scope2 Emissions Intensity In Term Of Physical Output - Previous Year,0.711,High Confidence (MHA),Total Scope1 And Scope2 Emissions Intensity In Term Of Physical Output,0.6892,Total Scope1 And Scope2 Emissions Intensity The Relevant Metric May Be Selected By The Entity - Previous Year,0.6806
What is the scope 1 and scope 2 emissions intensity in terms of purchasing power parity for the current year?,Total Scope1 And Scope2 Emissions Intensity Per Rupee Of Turnover Adjusted For Purchasing Power Parity - Previous Year,0.8648,High Confidence (MHA),Total Scope1 And Scope2 Emissions Intensity Per Rupee Of Turnover Adjusted For Purchasing Power Parity,0.8574,Total Scope1 And Scope2 Emissions Intensity In Term Of Physical Output - Previous Year,0.8492
What are the total PM emissions for the Current Year (Unit: Metric Tonne)?,Total Scope3 Emissions Per Rupee Of Turnover - Previous Year,0.5872,Medium Confidence (MHA),Total Scope3 Emissions Per Rupee Of Turnover,0.5682,Total Scope2 Emissions - Previous Year,0.5679
What are the total SOx emissions for the Current Year (Unit: Metric Tonne)?,Total Scope2 Emissions - Previous Year,0.5479,Medium Confidence (MHA),Total Scope3 Emissions - Previous Year,0.5399,Total Scope1 Emissions - Previous Year,0.5308
What are the total NOx emissions for the Current Year (Unit: Metric Tonne)?,Total Scope2 Emissions - Previous Year,0.5862,Medium Confidence (MHA),Other Emissions - Other Air Emissions Domain9 - Previous Year,0.5841,Total Scope3 Emissions - Previous Year,0.58
What is the water intensity per rupee of turnover in crores for the Current Year? (in kilolitres),Water Intensity Per Rupee Of Turnover - Previous Year,0.8738,High Confidence (MHA),Water Intensity Per Rupee Of Turnover,0.8606,Water Intensity Per Rupee Of Turnover Per Area - Facility Or Plant Located In Areas Of Water Stress Domain7 - Previous Year,0.7688
What is the % of untreated water discharge?,Water Discharge To Others With Treatment,0.6553,Medium Confidence (MHA),Total Water Discharged In Kilolitres Per Area - Facility Or Plant Located In Areas Of Water Stress Domain10 - Previous Year,0.6521,Total Water Discharged In Kilolitres Per Area - Facility Or Plant Located In Areas Of Water Stress Domain9 - Previous Year,0.6521
What is the total volume of fresh water withdrawal (in kilolitres) for the Current Year?,Total Volume Of Water Withdrawal - Previous Year,0.8273,High Confidence (MHA),Total Volume Of Water Withdrawal,0.773,Total Volume Of Water Consumption - Previous Year,0.7424
What is the total volume of fresh water discharge (in kilolitres) for the Current Year?,Total Water Discharged In Kilolitres - Previous Year,0.7764,High Confidence (MHA),Total Water Discharged In Kilolitres,0.7203,Total Volume Of Water Consumption - Previous Year,0.7013
What is the total volume of water consumed (in kilolitres) in areas of water stress for the Current Year?,Total Volume Of Water Consumption Per Area - Facility Or Plant Located In Areas Of Water Stress Domain8 - Previous Year,0.7793,High Confidence (MHA),Total Volume Of Water Consumption Per Area - Facility Or Plant Located In Areas Of Water Stress Domain9 - Previous Year,0.779,Total Volume Of Water Consumption Per Area - Facility Or Plant Located In Areas Of Water Stress Domain7 - Previous Year,0.7788
What is the total effluent discharge in the Current Year?,Water Discharge To Others - Previous Year,0.5702,Medium Confidence (MHA),Water Discharge To Others With Treatment - Previous Year,0.5584,Water Discharge By Sent To Third Parties - Previous Year,0.5526
