question,matched_pdf_paragraph
What is the scope 1 and scope 2 emissions intensity for the current year?,"7. Provide details of greenhouse gas emissions (Scope 1 and Scope 2 emissions) in MTCO2E & its intensity, in the following format:"
What is the scope 3 emissions intensity for the current year?,Total Scope 3 emissions per rupee of turnover - - Total Scope 3 emission intensity (optional) – the relevant metric may be selected by the entity - -
What was the Total Scope 1 and 2 intensity (Current Year) (Unit: Metric Tonne) - Physical Output?,Lakh $ Total Scope 1 and Scope 2 emission intensity in terms of physical output TCO₂e / rupee of
What is the scope 1 and scope 2 emissions intensity in terms of purchasing power parity for the current year?,Lakh Total Scope 1 and Scope 2 emission intensity per rupee of turnover adjusted for Purchasing Power Parity (PPP) TCO₂e / rupee of
What are the total PM emissions for the Current Year (Unit: Metric Tonne)?,Parameter Please specify unit Current Financial Year Previous Financial Year
What are the total SOx emissions for the Current Year (Unit: Metric Tonne)?,Parameter Please specify unit Current Financial Year Previous Financial Year
What are the total NOx emissions for the Current Year (Unit: Metric Tonne)?,Parameter Please specify unit Current Financial Year Previous Financial Year
What is the water intensity per rupee of turnover in crores for the Current Year? (in kilolitres),"Water withdrawal by source (in kilolitres) (i) Surface water 0 0 (ii) Groundwater 0 0 (iii) Third party water 13,492 12,460 (iv) Seawater / desalinated water 0 0 (v) Others 75 70 Total volume of water withdrawal (in kilolitres) (i + ii + iii + iv + v) 13,567 12,530 Total volume of water consumption (in kilolitres) 13,567 12,530 Water intensity per rupee of turnover (Water consumed / turnover) 0.41 KL / Lakh 0.53909 KL / Lakh Water intensity per rupee of turnover adjusted for Purchasing Power Parity (PPP) (Total water consumption / Revenue from operations adjusted for PPP) 8.25 KL / Lakh $ 12.08293 KL / Lakh $"
What is the % of untreated water discharge?,Remarks: The Company does not discharge untreated water.
What is the total volume of fresh water withdrawal (in kilolitres) for the Current Year?,"Water withdrawal by source (in kilolitres) (i) Surface water 0 0 (ii) Groundwater 0 0 (iii) Third party water 13,492 12,460 (iv) Seawater / desalinated water 0 0 (v) Others 75 70 Total volume of water withdrawal (in kilolitres) (i + ii + iii + iv + v) 13,567 12,530 Total volume of water consumption (in kilolitres) 13,567 12,530 Water intensity per rupee of turnover (Water consumed / turnover) 0.41 KL / Lakh 0.53909 KL / Lakh Water intensity per rupee of turnover adjusted for Purchasing Power Parity (PPP) (Total water consumption / Revenue from operations adjusted for PPP) 8.25 KL / Lakh $ 12.08293 KL / Lakh $"
What is the total volume of fresh water discharge (in kilolitres) for the Current Year?,"1. Water withdrawal, consumption and discharge in areas of water stress (in kilolitres):"
What is the total volume of water consumed (in kilolitres) in areas of water stress for the Current Year?,"1. Water withdrawal, consumption and discharge in areas of water stress (in kilolitres):"
What is the total effluent discharge in the Current Year?,b. What is the contribution of exports as a percentage of the total turnover of the entity?
How much was the Water intensity in Current Year (in kilolitres) for physical output?,Water intensity in terms of physical output 0.46 KL / No. of units produced 0.37 KL / No. of units produced* Water intensity (optional) – the relevant metric may be selected by the entity. - -
What is the water intensity per rupee of turnover adjusted for Purchasing Power Parity in crores Current Year (in kilolitres) - PPP?,Energy intensity per rupee of turnover adjusted for Purchasing Power Parity (PPP) (Total energy consumed / Revenue from operations adjusted for PPP) 6.67GJ/ Lakh $ 10.86 GJ / Lakh $
What is the energy intensity turnover for the current year?,Energy intensity per rupee of turnover adjusted for Purchasing Power Parity (PPP) (Total energy consumed / Revenue from operations adjusted for PPP) 6.67GJ/ Lakh $ 10.86 GJ / Lakh $
Percentage of energy consumed from renewable sources?,"From renewable sources Total electricity consumption (A) 0.00 0.00 Total fuel consumption (B) 0.00 0.00 Energy consumption through other sources ( C ) 0.00 0.00 Total energy consumed from renewable sources (A+B+C) 0.00 0.00 From non-renewable sources (In Gigajoules) Total electricity consumption (D) 10,836.27 11,073.62 Total fuel consumption (E) 131.78 187.04 Energy consumption through other sources (F) 0.00 0.00 Total energy consumed from non-renewable sources (D+E+F) 10,968.05 11,260.66 Total energy consumed (A+B+C+D+E+F) 10,968.05 11,260.66 Energy intensity per rupee of turnover (Total energy consumption/ turnover in rupees Lakhs) 0.33 GJ / Lakh 0.48 GJ / Lakh"
What is the energy intensity in terms of physical output?,Energy intensity in terms of physical output 0.37 GJ / No. of units produced 0.33 GJ / No. of units produced* Energy intensity (optional) – the relevant metric may be selected by the entity - -
What is the energy intensity adjusted for Purchasing Power Parity for Current Year?,Energy intensity per rupee of turnover adjusted for Purchasing Power Parity (PPP) (Total energy consumed / Revenue from operations adjusted for PPP) 6.67GJ/ Lakh $ 10.86 GJ / Lakh $
What is the waste intensity adjusted for Purchasing Power Parity for Current Year?,Waste intensity per rupee of turnover adjusted for Purchasing Power Parity (PPP) (Total Waste Generated / Revenue from operations adjusted for PPP) 0.00271 MT / Lakh $ 0.00453 MT / Lakh $
How much was the hazardous waste for the current year (in metric tonnes)?,Total Waste generated (in metric tonnes)
What is the waste recycled/recovered intensity for the current year?,"2. Details of retirement benefits, for Current FY and Previous Financial Year."
Percentage of recycled or reused input material used in production (for manufacturing industry) or providing services (for service industry),3. Percentage of recycled or reused input material to total material (by value) used in production (for manufacturing industry) or providing services (for service industry).
What was the total waste intensity (current year) (Unit: Metric Tonne) - Physical Output?,Waste intensity in terms of physical output 0.0020 MT / No. of units produced 0.0022 MT / No. of units produced Waste intensity (optional) the relevant metric may be selected by the entity - -
What is the waste intensity adjusted for Purchasing Power Parity for the current year?,Waste intensity per rupee of turnover adjusted for Purchasing Power Parity (PPP) (Total Waste Generated / Revenue from operations adjusted for PPP) 0.00271 MT / Lakh $ 0.00453 MT / Lakh $
Turnover of products and/or services as a percentage of turnover from all products/service that carry information about the safe and responsible usage?,2. Turnover of products and/ services as a percentage of turnover from all products/service that carry information about:
What is the clinker factor ratio?,b. What is the contribution of exports as a percentage of the total turnover of the entity?
What is fly ash % utilisation in current year?,Category Current Financial Year
Is the company investing in new generation aircraft fleet? Has the number increased as compared to previous year?,Previous Financial Year
"What percentage of the total virgin raw material does the company produced and/or purchased covered by FSC, PEFC and/or SFI certification?",c. What percentage of total procurement (by value) does it constitute?
Total Lost time incident rate (LTIR)_Workers?,Lost Time Injury Frequency Rate (LTIFR) (per one million-person hours worked) Employees 0 0 Workers 0 0 Total recordable work-related injuries Employees 0 0 Workers 0 0 No. of fatalities Employees 0 0 Workers 0 0 High consequence work-related injury or ill-health (excluding fatalities) Employees 0 0 Workers 0 0
Total Lost time incident rate (LTIR)_Employees?,Lost Time Injury Frequency Rate (LTIFR) (per one million-person hours worked) Employees 0 0 Workers 0 0 Total recordable work-related injuries Employees 0 0 Workers 0 0 No. of fatalities Employees 0 0 Workers 0 0 High consequence work-related injury or ill-health (excluding fatalities) Employees 0 0 Workers 0 0
Total recordable work related injuries for employees as a % of the total employees in the company,No. of employees covered as a % of total employees
Total recordable work related injuries for workers as a % of the total workers in the company,No. of workers covered as a % of total workers
Fatalities of employees,Lost Time Injury Frequency Rate (LTIFR) (per one million-person hours worked) Employees 0 0 Workers 0 0 Total recordable work-related injuries Employees 0 0 Workers 0 0 No. of fatalities Employees 0 0 Workers 0 0 High consequence work-related injury or ill-health (excluding fatalities) Employees 0 0 Workers 0 0
Fatalities of workers,Lost Time Injury Frequency Rate (LTIFR) (per one million-person hours worked) Employees 0 0 Workers 0 0 Total recordable work-related injuries Employees 0 0 Workers 0 0 No. of fatalities Employees 0 0 Workers 0 0 High consequence work-related injury or ill-health (excluding fatalities) Employees 0 0 Workers 0 0
Count of high consquence work related injury or ill health of employees (excluding fatalities),Lost Time Injury Frequency Rate (LTIFR) (per one million-person hours worked) Employees 0 0 Workers 0 0 Total recordable work-related injuries Employees 0 0 Workers 0 0 No. of fatalities Employees 0 0 Workers 0 0 High consequence work-related injury or ill-health (excluding fatalities) Employees 0 0 Workers 0 0
Count of high consquence work related injury or ill health of (excluding fatalities),Lost Time Injury Frequency Rate (LTIFR) (per one million-person hours worked) Employees 0 0 Workers 0 0 Total recordable work-related injuries Employees 0 0 Workers 0 0 No. of fatalities Employees 0 0 Workers 0 0 High consequence work-related injury or ill-health (excluding fatalities) Employees 0 0 Workers 0 0
