question_id,original_question_text,combined_query,global_optimal_match,optimal_score,alt_match_1,alt_score_1,alt_match_2,alt_score_2,alt_match_3,alt_score_3,confidence_flag,final_selected_column
Q_TURNOVER,Turnover,Turnover,Retention Rates Permanent Employees That Took Parental Leave - Other Gender Member,15.4034,Retention Rates Permanent Employees That Took Parental Leave - Male Member,15.9665,Retention Rates Permanent Employees That Took Parental Leave - Gender Member,15.9665,Retention Rates Permanent Employees That Took Parental Leave - Female Member,15.9665,Low Confidence,Retention Rates Permanent Employees That Took Parental Leave - Other Gender Member
Q_NET_WORTH,Net Worth,Net Worth,Net Worth,27.9789,Net Worth,27.9789,Web Link Public Policy Position Advocated - Public Policy38,0.0,Water Discharge To Groundwater Per Area - Facility Or Plant Located In Areas Of Water Stress Domain5,0.0,High Confidence,Net Worth
Q_RND_PCT,Percentage Of RAnd D,Percentage Of RAnd D,Percentage Of RAnd D,25.3286,Percentage Of RAnd D,25.3286,Percentage Of RAnd D - Previous Year,23.2483,Remarks For Assurance Of Percentage Of RAnd DAnd Capital Expenditure Investments In Specific Technologies,17.9395,High Confidence,Percentage Of RAnd D
Q_ANTI_CORRUPTION,Does The Entity Have An Anti Corruption Or Anti Bribery Policy,Does The Entity Have An Anti Corruption Or Anti Bribery Policy,Details For The Entity Have Not Applicable An Anti Corruption Or Anti Bribery Policy Explanatory Text Block,33.8475,Does The Entity Have An Anti Corruption Or Anti Bribery Policy,43.9274,Details For The Entity Have Not Applicable An Anti Corruption Or Anti Bribery Policy Explanatory Text Block,33.8475,Anti Corruption Or Anti Bribery Policy Explanatory Text Block,29.429,High Confidence,Details For The Entity Have Not Applicable An Anti Corruption Or Anti Bribery Policy Explanatory Text Block
Q1,What is the scope 1 and scope 2 emissions intensity for the current year?,What is the scope 1 and scope 2 emissions intensity for the current year? Number Of Employees In The Company At The End Of The Financial Year,Total Scope1 And Scope2 Emissions Intensity Per Rupee Of Turnover,26.4143,Total Scope1 And Scope2 Emissions Intensity The Relevant Metric May Be Selected By The Entity,27.6076,Total Scope1 And Scope2 Emissions Intensity In Term Of Physical Output,27.3716,Total Scope1 And Scope2 Emissions Intensity Per Rupee Of Turnover,26.4143,Ambiguous,Total Scope1 And Scope2 Emissions Intensity Per Rupee Of Turnover
Q2,What is the scope 3 emissions intensity for the current year?,What is the scope 3 emissions intensity for the current year? Number Of Employees In The Company At The End Of The Financial Year,Whether Total Scope3 Emissions And Its Intensity Is Applicable To The Company,23.881,Whether Details Of Employees As At The End Of Financial Year Is Assured By Assurer,23.9238,Total Scope3 Emission Intensity The Relevant Metric May Be Selected By The Entity,23.9138,Whether Total Scope3 Emissions And Its Intensity Is Applicable To The Company,23.881,Ambiguous,Whether Total Scope3 Emissions And Its Intensity Is Applicable To The Company
Q3,What was the Total Scope 1 and 2 intensity (Current Year) (Unit: Metric Tonne) - Physical Output?,What was the Total Scope 1 and 2 intensity (Current Year) (Unit: Metric Tonne) - Physical Output? unit Denominator,Total Scope1 And Scope2 Emissions Intensity In Term Of Physical Output,38.1727,Total Scope1 And Scope2 Emissions Intensity In Term Of Physical Output,38.1727,Total Scope1 And Scope2 Emissions Intensity The Relevant Metric May Be Selected By The Entity,26.437,Waste Intensity In Term Of Physical Output,25.5586,High Confidence,Total Scope1 And Scope2 Emissions Intensity In Term Of Physical Output
Q4,What is the scope 1 and scope 2 emissions intensity in terms of purchasing power parity for the current year?,What is the scope 1 and scope 2 emissions intensity in terms of purchasing power parity for the current year? Number Of Employees In The Company At The End Of The Financial Year,Total Scope1 And Scope2 Emissions Intensity Per Rupee Of Turnover Adjusted For Purchasing Power Parity,42.9276,Total Scope1 And Scope2 Emissions Intensity Per Rupee Of Turnover Adjusted For Purchasing Power Parity,42.9276,Total Scope1 And Scope2 Emissions Intensity In Term Of Physical Output,34.4871,Waste Intensity Per Rupee Of Turnover Adjusting For Purchasing Power Parity,31.0467,High Confidence,Total Scope1 And Scope2 Emissions Intensity Per Rupee Of Turnover Adjusted For Purchasing Power Parity
Q5,What are the total PM emissions for the Current Year (Unit: Metric Tonne)?,What are the total PM emissions for the Current Year (Unit: Metric Tonne)? Whether There Are Changes In Acounting Estimates During The Year,Total Scope3 Emission Intensity The Relevant Metric May Be Selected By The Entity,19.5989,Total Scope3 Emission Intensity The Relevant Metric May Be Selected By The Entity,19.5989,Number Of Complaints Filed During The Year - Discrimination At Work Place Member,19.2747,Total Scope1 And Scope2 Emissions Intensity The Relevant Metric May Be Selected By The Entity,17.9212,Ambiguous,Total Scope3 Emission Intensity The Relevant Metric May Be Selected By The Entity
Q6,What are the total SOx emissions for the Current Year (Unit: Metric Tonne)?,What are the total SOx emissions for the Current Year (Unit: Metric Tonne)? Whether There Are Changes In Acounting Estimates During The Year,SOx,24.8055,SOx,24.8055,Total Scope3 Emission Intensity The Relevant Metric May Be Selected By The Entity,19.5989,Number Of Complaints Filed During The Year - Discrimination At Work Place Member,19.2747,High Confidence,SOx
Q7,What are the total NOx emissions for the Current Year (Unit: Metric Tonne)?,What are the total NOx emissions for the Current Year (Unit: Metric Tonne)? Whether There Are Changes In Acounting Estimates During The Year,NOx,25.3542,NOx,25.3542,Number Of Complaints Filed During The Year - Discrimination At Work Place Member,21.4163,Total Scope3 Emission Intensity The Relevant Metric May Be Selected By The Entity,19.5989,High Confidence,NOx
Q8,What is the water intensity per rupee of turnover in crores for the Current Year? (in kilolitres),What is the water intensity per rupee of turnover in crores for the Current Year? (in kilolitres) Number Of Employees In The Company At The End Of The Financial Year,Water Intensity Per Rupee Of Turnover,27.1056,Water Intensity Per Rupee Of Turnover,27.1056,Whether Water Withdrawal Or Consumption And Discharge In Areas Of Water Stress In Kilolitres Is Assured By Assurer,25.4427,Remarks For Assurance Of Water Withdrawal Or Consumption And Discharge In Areas Of Water Stress In Kilolitres,25.0171,High Confidence,Water Intensity Per Rupee Of Turnover
Q9,What is the % of untreated water discharge?,What is the % of untreated water discharge? Cost Water Charges,Whether Water Withdrawal Or Consumption And Discharge In Areas Of Water Stress In Kilolitres Is Assured By Assurer,18.0904,Whether Water Withdrawal Or Consumption And Discharge In Areas Of Water Stress In Kilolitres Is Assured By Assurer,18.0904,Remarks For Assurance Of Water Withdrawal Or Consumption And Discharge In Areas Of Water Stress In Kilolitres,16.2496,Assurance Sub Type For Water Withdrawal Or Consumption And Discharge In Areas Of Water Stress In Kilolitres,15.6031,High Confidence,Whether Water Withdrawal Or Consumption And Discharge In Areas Of Water Stress In Kilolitres Is Assured By Assurer
Q10,What is the total volume of fresh water withdrawal (in kilolitres) for the Current Year?,What is the total volume of fresh water withdrawal (in kilolitres) for the Current Year? Number Of Employees In The Company At The End Of The Financial Year,Total Volume Of Water Withdrawal,22.6962,Whether Water Withdrawal Or Consumption And Discharge In Areas Of Water Stress In Kilolitres Is Assured By Assurer,25.4427,Remarks For Assurance Of Water Withdrawal Or Consumption And Discharge In Areas Of Water Stress In Kilolitres,25.0171,Assurance Sub Type For Water Withdrawal Or Consumption And Discharge In Areas Of Water Stress In Kilolitres,24.3707,Ambiguous,Total Volume Of Water Withdrawal
Q11,What is the total volume of fresh water discharge (in kilolitres) for the Current Year?,What is the total volume of fresh water discharge (in kilolitres) for the Current Year? Number Of Employees In The Company At The End Of The Financial Year,Total Volume Of Water Consumption,23.5472,Whether Water Withdrawal Or Consumption And Discharge In Areas Of Water Stress In Kilolitres Is Assured By Assurer,25.4427,Remarks For Assurance Of Water Withdrawal Or Consumption And Discharge In Areas Of Water Stress In Kilolitres,25.0171,Assurance Sub Type For Water Withdrawal Or Consumption And Discharge In Areas Of Water Stress In Kilolitres,24.3707,Ambiguous,Total Volume Of Water Consumption
Q12,What is the total volume of water consumed (in kilolitres) in areas of water stress for the Current Year?,What is the total volume of water consumed (in kilolitres) in areas of water stress for the Current Year? Cost Water Charges,Remarks For Assurance Of Water Withdrawal Or Consumption And Discharge In Areas Of Water Stress In Kilolitres,29.8797,Whether Water Withdrawal Or Consumption And Discharge In Areas Of Water Stress In Kilolitres Is Assured By Assurer,30.1677,Remarks For Assurance Of Water Withdrawal Or Consumption And Discharge In Areas Of Water Stress In Kilolitres,29.8797,Assurance Sub Type For Water Withdrawal Or Consumption And Discharge In Areas Of Water Stress In Kilolitres,29.2332,Ambiguous,Remarks For Assurance Of Water Withdrawal Or Consumption And Discharge In Areas Of Water Stress In Kilolitres
Q13,What is the total effluent discharge in the Current Year?,What is the total effluent discharge in the Current Year? Number Of Employees In The Company At The End Of The Financial Year,It Is Planned To Be Done In The Next Financial Year - Principle8 Member,18.0246,Whether Details Of Employees As At The End Of Financial Year Is Assured By Assurer,23.9238,Remarks For Assurance Of Details Of Employees As At The End Of Financial Year,21.7549,Assurance Sub Type For Details Of Employees As At The End Of Financial Year,21.3935,High Confidence,It Is Planned To Be Done In The Next Financial Year - Principle8 Member
Q14,How much was the Water intensity in Current Year (in kilolitres) for physical output?,How much was the Water intensity in Current Year (in kilolitres) for physical output? Cost Water Charges,Water Intensity In Term Of Physical Output,31.0295,Water Intensity In Term Of Physical Output,31.0295,Energy Intensity In Term Of Physical Output,27.7507,Waste Intensity In Term Of Physical Output,27.7507,High Confidence,Water Intensity In Term Of Physical Output
Q15,What is the water intensity per rupee of turnover adjusted for Purchasing Power Parity in crores Current Year (in kilolitres) - PPP?,What is the water intensity per rupee of turnover adjusted for Purchasing Power Parity in crores Current Year (in kilolitres) - PPP? Whether There Is Any Change In Functional Currency During The Year,Water Intensity Per Rupee Of Turnover Adjusting For Purchasing Power Parity,46.6543,Water Intensity Per Rupee Of Turnover Adjusting For Purchasing Power Parity,46.6543,Energy Intensity Per Rupee Of Turnover Adjusting For Purchasing Power Parity,43.838,Waste Intensity Per Rupee Of Turnover Adjusting For Purchasing Power Parity,43.838,High Confidence,Water Intensity Per Rupee Of Turnover Adjusting For Purchasing Power Parity
Q16,What is the energy intensity turnover for the current year?,What is the energy intensity turnover for the current year? Steps Taken By The Company For Utilising Alternate Sources Of Energy Explanatory,Whether Turnover Rate For Permanent Employees And Workers Disclose Trends For Past Three Years Is Assured By Assurer,24.6761,Energy Intensity Per Rupee Of Turnover Adjusting For Purchasing Power Parity,25.23,Whether Turnover Rate For Permanent Employees And Workers Disclose Trends For Past Three Years Is Assured By Assurer,24.6761,Total Fuel Consumption From Renewable Sources,23.7763,Ambiguous,Whether Turnover Rate For Permanent Employees And Workers Disclose Trends For Past Three Years Is Assured By Assurer
Q17,Percentage of energy consumed from renewable sources?,Percentage of energy consumed from renewable sources? Raw Materials Consumed,Total Energy Consumed From Renewable And Non Renewable Sources,31.3422,Total Energy Consumed From Renewable Sources,32.9606,Total Energy Consumed From Non Renewable Sources,31.6071,Total Energy Consumed From Renewable And Non Renewable Sources,31.3422,High Confidence,Total Energy Consumed From Renewable And Non Renewable Sources
Q18,What is the energy intensity in terms of physical output?,What is the energy intensity in terms of physical output? Steps Taken By The Company For Utilising Alternate Sources Of Energy Explanatory,Energy Intensity In Term Of Physical Output,42.9809,Energy Intensity In Term Of Physical Output,42.9809,Energy Intensity In Term Of Physical Output - Previous Year,39.7188,Water Intensity In Term Of Physical Output,36.6194,High Confidence,Energy Intensity In Term Of Physical Output
Q19,What is the energy intensity adjusted for Purchasing Power Parity for Current Year?,What is the energy intensity adjusted for Purchasing Power Parity for Current Year? Steps Taken By The Company For Utilising Alternate Sources Of Energy Explanatory,Energy Intensity Per Rupee Of Turnover Adjusting For Purchasing Power Parity,36.5107,Energy Intensity Per Rupee Of Turnover Adjusting For Purchasing Power Parity,36.5107,Total Scope1 And Scope2 Emissions Intensity Per Rupee Of Turnover Adjusted For Purchasing Power Parity,33.0355,Water Intensity Per Rupee Of Turnover Adjusting For Purchasing Power Parity,31.0467,High Confidence,Energy Intensity Per Rupee Of Turnover Adjusting For Purchasing Power Parity
Q20,What is the waste intensity adjusted for Purchasing Power Parity for Current Year?,What is the waste intensity adjusted for Purchasing Power Parity for Current Year? Whether Company Has Published Sustainability Report For The Financial Year,Waste Intensity Per Rupee Of Turnover Adjusting For Purchasing Power Parity,33.8807,Waste Intensity Per Rupee Of Turnover Adjusting For Purchasing Power Parity,33.8807,Total Scope1 And Scope2 Emissions Intensity Per Rupee Of Turnover Adjusted For Purchasing Power Parity,31.6383,Water Intensity Per Rupee Of Turnover Adjusting For Purchasing Power Parity,29.3538,High Confidence,Waste Intensity Per Rupee Of Turnover Adjusting For Purchasing Power Parity
Q21,How much was the hazardous waste for the current year (in metric tonnes)?,How much was the hazardous waste for the current year (in metric tonnes)? Number Of Employees In The Company At The End Of The Financial Year,Describe The Processes In Place To Safely Reclaim Your Products For Reusing Recycling And Disposing At The End Of Life For Hazardous Waste Explanatory Text Block,18.9022,Remarks For Assurance Of Details Of Employees As At The End Of Financial Year,26.7634,Assurance Sub Type For Details Of Employees As At The End Of Financial Year,26.402,Whether Details Of Employees As At The End Of Financial Year Is Assured By Assurer,24.3109,Ambiguous,Describe The Processes In Place To Safely Reclaim Your Products For Reusing Recycling And Disposing At The End Of Life For Hazardous Waste Explanatory Text Block
Q22,What is the waste recycled/recovered intensity for the current year?,What is the waste recycled/recovered intensity for the current year? Number Of Employees In The Company At The End Of The Financial Year,Whether Describe The Processes In Place To Safely Reclaim Your Products For Reusing Recycling And Disposing At The End Of Life For Plastics Including Packaging EWaste Hazardous Waste And Other Waste Is Assured By Assurer,19.871,Whether Details Of Employees As At The End Of Financial Year Is Assured By Assurer,23.9238,Waste Recovered Through Recycled,23.3311,Remarks For Assurance Of Details Of Employees As At The End Of Financial Year,23.0901,Ambiguous,Whether Describe The Processes In Place To Safely Reclaim Your Products For Reusing Recycling And Disposing At The End Of Life For Plastics Including Packaging EWaste Hazardous Waste And Other Waste Is Assured By Assurer
Q23,Percentage of recycled or reused input material used in production (for manufacturing industry) or providing services (for service industry),Percentage of recycled or reused input material used in production (for manufacturing industry) or providing services (for service industry) Type Of Industry,Remarks For Assurance Of Details Of Percentage Of Recycled Or Reused Input Material To Total Material By Value Used In Production Or Providing Services,39.1277,Remarks For Assurance Of Details Of Percentage Of Recycled Or Reused Input Material To Total Material By Value Used In Production Or Providing Services,39.1277,Indicate In Put Material - Recycled Or Reused Input Material Used In Production Or Providing Services Domain8,38.6461,Indicate In Put Material - Recycled Or Reused Input Material Used In Production Or Providing Services Domain5,38.6461,Ambiguous,Remarks For Assurance Of Details Of Percentage Of Recycled Or Reused Input Material To Total Material By Value Used In Production Or Providing Services
Q24,What was the total waste intensity (current year) (Unit: Metric Tonne) - Physical Output?,What was the total waste intensity (current year) (Unit: Metric Tonne) - Physical Output? unit Denominator,Waste Intensity In Term Of Physical Output,30.8291,Waste Intensity In Term Of Physical Output,30.8291,Energy Intensity In Term Of Physical Output,25.5586,Water Intensity In Term Of Physical Output,25.5586,High Confidence,Waste Intensity In Term Of Physical Output
Q25,What is the waste intensity adjusted for Purchasing Power Parity for the current year?,What is the waste intensity adjusted for Purchasing Power Parity for the current year? Whether Company Has Published Sustainability Report For The Financial Year,Waste Recovered Through Recycled,23.3311,Waste Intensity Per Rupee Of Turnover Adjusting For Purchasing Power Parity,33.8807,Total Scope1 And Scope2 Emissions Intensity Per Rupee Of Turnover Adjusted For Purchasing Power Parity,31.6383,Water Intensity Per Rupee Of Turnover Adjusting For Purchasing Power Parity,29.3538,High Confidence,Waste Recovered Through Recycled
Q26,Turnover of products and/or services as a percentage of turnover from all products/service that carry information about the safe and responsible usage?,Turnover of products and/or services as a percentage of turnover from all products/service that carry information about the safe and responsible usage? Products And Services Domain,Remarks For Assurance Of Turnover Of Products And Or Services As APercentage Of Turnover From All Products Or Service That Carry Information About As APercentage To Total Turnover,45.7362,Remarks For Assurance Of Turnover Of Products And Or Services As APercentage Of Turnover From All Products Or Service That Carry Information About As APercentage To Total Turnover,45.7362,Assurance Sub Type For Turnover Of Products And Or Services As APercentage Of Turnover From All Products Or Service That Carry Information About As APercentage To Total Turnover,45.3533,Whether Turnover Of Products And Or Services As APercentage Of Turnover From All Products Or Service That Carry Information About As APercentage To Total Turnover Is Assured By Assurer,43.6791,Ambiguous,Remarks For Assurance Of Turnover Of Products And Or Services As APercentage Of Turnover From All Products Or Service That Carry Information About As APercentage To Total Turnover
Q27,What is the clinker factor ratio?,What is the clinker factor ratio? Description Of How Entity Establishes Hedge Ratio And What Sources Of Hedge Ineffectiveness Are,Whether Specific Commitments Goals And Targets Set By The Entity With Defined Timelines Is Assured By Assurer,11.8059,Whether Specific Commitments Goals And Targets Set By The Entity With Defined Timelines Is Assured By Assurer,11.8059,Whether Weblink Where Information On Products And Services Of The Entity Can Be Accessed Is Assured By Assurer,11.803,Remarks For Assurance Of Whether The Entity Display Product Information On The Product Over And Above What Is Mandated As Per Local Laws,11.7774,Low Confidence,Whether Specific Commitments Goals And Targets Set By The Entity With Defined Timelines Is Assured By Assurer
Q28,What is fly ash % utilisation in current year?,What is fly ash % utilisation in current year? Amount Provided In Current Year,It Is Planned To Be Done In The Next Financial Year - Principle7 Member,12.2885,It Is Planned To Be Done In The Next Financial Year - Principle2 Member,12.2885,It Is Planned To Be Done In The Next Financial Year - Principle7 Member,12.2885,It Is Planned To Be Done In The Next Financial Year - Principle8 Member,12.2885,Low Confidence,It Is Planned To Be Done In The Next Financial Year - Principle7 Member
Q29,Is the company investing in new generation aircraft fleet? Has the number increased as compared to previous year?,Is the company investing in new generation aircraft fleet? Has the number increased as compared to previous year? Number Of Employees In The Company At The End Of The Financial Year,Whether Details Of Employees As At The End Of Financial Year Is Assured By Assurer,27.4835,Whether Details Of Employees As At The End Of Financial Year Is Assured By Assurer,27.4835,Remarks For Assurance Of Details Of Employees As At The End Of Financial Year,25.4281,Assurance Sub Type For Details Of Employees As At The End Of Financial Year,25.0668,High Confidence,Whether Details Of Employees As At The End Of Financial Year Is Assured By Assurer
Q30,"What percentage of the total virgin raw material does the company produced and/or purchased covered by FSC, PEFC and/or SFI certification?","What percentage of the total virgin raw material does the company produced and/or purchased covered by FSC, PEFC and/or SFI certification? Disclosure In Auditors Report Relating To Fraud By The Company Or On The Company By Its Officers Or Its Employees Reported During Period",What Percentage Of Total Procurement By Value Does It Constitute,25.3718,What Percentage Of Total Procurement By Value Does It Constitute,25.3718,Does The Entity Display Product Information On The Product Over And Above What Is Mandated As Per Local Laws,19.7056,Remarks For Assurance Of APreferential Procurement Policy Where Preference To Purchase From Suppliers Comprising Marginalized Or Vulnerable Groups And Its Percentage Of Total Procurement By Value Does It Constitute,18.5564,High Confidence,What Percentage Of Total Procurement By Value Does It Constitute
